gameKey,seasonName,date,winner,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_UF,H_TF,H_EJ,H_TO,H_NR,H_TS%,H_eFG%,H_EFF,H_TOV%,H_OREB%,H_FT%,H_AST%,H_AST/TO%,H_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_UF,A_TF,A_EJ,A_TO,A_NR,A_TS%,A_eFG%,A_EFF,A_TOV%,A_OREB%,A_FT%,A_AST%,A_AST/TO%,A_TEAM
S43G01N11,2023-2024,20231027,home,20,2,33,17,50,7,43,26,22,7,1,1,34,23,0,0,66,34,19,44,32,98,100,1,0,8,2400,1,0,0,8,30.49571351744642,45.50625711035268,73.33333333333333,127,4.512635379061372,62.5,93.33333333333333,66.66666666666667,6.0,서울 삼성,14,4,16,6,22,1,30,11,37,12,1,1,20,18,2,2,68,24,20,48,40,78,88,5,0,3,2400,0,0,0,3,-30.49571351744642,35.031847133757964,38.23529411764706,75,4.464285714285714,5.714285714285714,58.8235294117647,80.0,4.0,고양 소노
S43G01N12,2023-2024,20231028,home,21,7,24,7,31,2,41,27,27,11,2,2,12,10,3,0,70,40,17,35,23,101,82,9,0,11,2400,0,0,0,11,15.900037903070142,61.67763157894737,67.5,128,0.0,50.0,15.0,58.333333333333336,0.0,원주 DB,22,0,23,11,34,2,50,25,23,11,0,0,13,7,6,2,73,36,15,31,20,90,86,9,1,13,2400,0,0,0,14,-15.900037903070142,46.666666666666664,46.666666666666664,100,11.764705882352942,4.0,0.0,33.333333333333336,1.0,부산 KCC
S43G01N13,2023-2024,20231028,away,14,0,18,12,30,1,30,16,31,12,3,2,16,11,1,0,64,30,18,36,21,83,80,2,1,8,2400,0,0,0,9,-11.806524969604169,45.955882352941174,59.375,82,10.121457489878543,40.0,25.0,50.0,2.0,대구 한국가스공사,22,1,25,10,35,1,39,24,26,12,1,1,11,6,3,0,66,37,20,42,15,92,77,4,1,7,2400,0,0,0,8,11.806524969604169,54.844606946983546,60.526315789473685,113,13.111888111888112,25.0,10.526315789473685,50.0,1.6666666666666667,창원 LG
S43G01N14,2023-2024,20231028,away,15,5,31,12,43,2,40,15,25,6,1,1,10,9,4,0,66,22,16,36,26,59,76,8,2,19,2400,0,0,0,21,-6.62374080281424,27.964205816554813,26.666666666666668,66,15.889830508474574,18.181818181818183,13.333333333333334,100.0,1.0,수원 KT,14,7,28,8,36,1,38,18,25,5,0,0,16,12,1,0,63,23,15,30,19,63,79,9,1,14,2400,0,0,0,15,6.62374080281424,23.529411764705884,23.529411764705884,71,5.555555555555555,6.0606060606060606,0.0,50.0,2.0,안양 정관장
S43G01N15,2023-2024,20231029,away,10,2,21,12,33,6,43,18,21,5,3,3,19,12,2,0,67,26,17,38,37,69,86,5,0,12,2400,0,0,0,12,-27.361266344379942,42.229729729729726,54.166666666666664,65,26.652452025586356,40.0,33.333333333333336,50.0,0.6,서울 삼성,14,6,26,12,38,5,53,29,16,4,1,1,22,18,6,2,70,34,19,42,24,90,92,8,1,8,2400,0,1,0,9,27.361266344379942,40.529010238907844,43.18181818181818,112,8.183306055646481,19.23076923076923,4.545454545454546,55.55555555555556,2.5,창원 LG
S43G01N16,2023-2024,20231029,home,18,0,17,11,28,3,41,27,21,9,2,2,19,11,3,4,64,38,18,40,26,96,83,4,0,7,2400,0,0,0,7,8.262023127741003,49.528301886792455,67.85714285714286,108,10.989010989010989,28.571428571428573,35.714285714285715,87.5,3.5,대구 한국가스공사,13,1,17,11,28,4,41,22,25,11,0,0,23,17,3,2,66,33,19,41,19,94,89,4,0,6,2400,0,0,0,6,-8.262023127741003,35.101404056162245,41.1764705882353,99,4.844961240310077,19.047619047619047,35.294117647058826,14.285714285714286,1.0,서울 SK
S43G01N17,2023-2024,20231029,home,20,1,26,5,31,3,26,14,37,17,3,3,21,14,2,0,66,34,19,47,29,99,87,6,0,8,2400,0,0,0,8,16.808056545752194,61.33671742808799,80.0,113,10.183299389002036,25.0,40.0,50.0,2.5,고양 소노,16,2,26,9,35,4,40,21,23,6,2,2,30,24,2,2,65,29,18,40,20,88,95,4,1,11,2400,0,0,0,12,-16.808056545752194,52.84926470588235,62.5,95,14.45086705202312,0.0,25.0,33.333333333333336,1.0,울산 현대모비스
S43G01N18,2023-2024,20231030,away,19,1,19,14,33,4,49,26,25,8,1,1,7,6,4,2,75,35,15,32,20,84,82,11,1,12,2400,0,0,0,13,-10.536210519607508,52.84926470588235,59.375,98,21.968365553602812,60.0,25.0,44.44444444444444,0.8,수원 KT,18,6,21,9,30,3,37,24,23,9,0,0,21,16,8,2,60,33,15,30,22,91,81,8,1,15,2400,0,0,0,16,10.536210519607508,35.79952267303102,40.90909090909091,108,38.53564547206166,9.523809523809524,36.36363636363637,0.0,0.0,원주 DB
S43G01N19,2023-2024,20231031,away,14,4,24,13,37,3,46,22,22,5,2,1,16,14,2,2,70,28,18,38,34,75,86,4,0,8,2400,0,0,0,8,-18.119710513930272,45.54655870445344,50.0,85,11.261261261261263,33.333333333333336,28.571428571428573,42.857142857142854,1.5,안양 정관장,22,3,26,12,38,2,48,28,18,4,2,2,19,14,3,2,68,34,18,37,21,86,87,5,1,6,2400,0,0,0,7,18.119710513930272,40.737564322469986,44.73684210526316,110,12.864493996569468,22.580645161290324,15.789473684210526,62.5,1.6666666666666667,울산 현대모비스
S43G01N20,2023-2024,20231031,home,15,5,21,13,34,6,39,20,22,10,1,1,23,12,0,0,62,31,18,42,29,84,85,3,0,11,2400,0,0,0,11,8.683526652722307,56.59448818897638,65.625,94,5.458515283842795,25.0,18.75,66.66666666666667,6.0,서울 삼성,10,1,23,6,29,3,44,23,17,4,1,1,25,20,2,2,62,28,19,41,21,80,87,7,1,5,2400,0,0,0,6,-8.683526652722307,50.317796610169495,53.125,85,5.592841163310962,4.545454545454546,12.5,50.0,4.0,대구 한국가스공사
S43G01N21,2023-2024,20231102,home,21,3,29,16,45,4,45,25,23,7,0,0,26,16,4,2,68,32,17,34,24,87,94,6,0,10,2400,0,0,0,10,20.503773167882287,48.07692307692308,63.888888888888886,110,8.665511265164646,55.55555555555556,38.888888888888886,80.0,4.0,창원 LG,21,2,20,4,24,5,21,9,38,14,4,4,8,5,2,0,63,27,19,42,40,73,71,6,1,12,2400,1,0,0,13,-20.503773167882287,59.823677581863976,69.23076923076923,79,30.181086519114686,6.451612903225806,15.384615384615385,71.42857142857143,0.8333333333333334,고양 소노
S43G01N22,2023-2024,20231102,away,18,2,26,17,43,1,38,18,33,7,2,2,19,13,3,2,73,27,16,33,30,74,92,3,1,17,2400,0,0,0,18,-29.467689519019615,39.986091794158554,45.65217391304348,71,7.473841554559043,35.714285714285715,17.391304347826086,77.77777777777777,3.5,서울 삼성,18,4,28,15,43,6,59,32,21,6,3,2,13,10,3,4,83,40,19,41,18,96,96,11,0,6,2400,0,0,0,6,29.467689519019615,31.293463143254517,32.608695652173914,126,13.908205841446453,21.21212121212121,17.391304347826086,57.142857142857146,1.0,안양 정관장
S43G01N23,2023-2024,20231103,away,19,5,18,12,30,3,56,29,16,4,1,1,12,7,11,6,73,34,19,38,21,79,85,6,0,7,2400,0,1,0,7,-16.375545851528372,59.241706161137444,66.66666666666667,91,0.0,25.0,14.285714285714286,61.53846153846154,0.0,울산 현대모비스,21,0,27,15,42,5,54,30,21,7,0,0,12,10,3,0,75,37,17,35,22,91,87,3,0,8,2400,0,0,0,8,16.375545851528372,55.147058823529406,65.625,114,18.38235294117647,14.285714285714286,25.0,33.333333333333336,0.75,부산 KCC
S43G01N24,2023-2024,20231103,away,10,0,18,16,34,5,44,17,31,10,0,0,19,15,1,0,75,27,17,34,24,79,94,7,0,11,2400,1,0,0,11,-20.630285187427532,41.9776119402985,45.0,72,8.9126559714795,45.45454545454545,5.0,37.5,1.5,대구 한국가스공사,23,6,29,8,37,3,38,21,25,12,3,3,10,10,7,8,66,36,19,42,23,94,76,9,0,15,2400,0,0,0,15,20.630285187427532,76.66666666666667,76.66666666666667,127,16.666666666666668,5.2631578947368425,0.0,66.66666666666667,2.0,원주 DB
S43G01N25,2023-2024,20231104,home,18,3,35,8,43,3,49,22,19,6,0,0,11,7,9,2,68,28,15,30,22,69,79,10,0,7,2400,0,0,0,7,27.403168185081483,47.36842105263158,47.36842105263158,95,9.523809523809524,33.333333333333336,0.0,62.5,2.5,창원 LG,12,2,31,10,41,4,44,14,21,5,0,0,11,7,0,0,65,19,17,36,20,50,76,6,1,13,2400,0,0,0,14,-27.403168185081483,33.43621399176955,36.111111111111114,51,17.825311942959,12.5,5.555555555555555,66.66666666666667,1.0,서울 SK
S43G01N26,2023-2024,20231104,away,19,3,28,9,37,3,41,22,26,9,1,1,10,9,1,2,68,32,18,38,14,82,78,0,0,12,2400,0,0,0,12,0.8396465851191692,26.36203866432337,26.470588235294116,95,5.060728744939271,16.666666666666668,23.529411764705884,50.0,2.0,안양 정관장,15,3,23,11,34,4,33,16,40,13,3,3,11,7,2,2,76,32,17,34,20,84,87,6,0,8,2400,0,0,0,8,-0.8396465851191692,32.327586206896555,37.5,90,9.900990099009901,6.666666666666667,31.25,33.333333333333336,1.0,고양 소노
S43G01N27,2023-2024,20231104,away,19,4,30,20,50,2,52,24,21,6,1,1,29,19,4,2,74,31,20,44,29,87,103,2,1,13,2400,0,0,0,14,-11.825508767031906,47.13687150837989,57.5,97,8.116883116883116,33.333333333333336,30.0,60.0,3.0,서울 삼성,19,7,22,7,29,7,56,26,10,5,1,0,26,23,2,0,67,31,20,47,22,90,93,9,0,3,2400,0,0,0,3,11.825508767031906,36.184210526315795,43.75,119,0.0,3.225806451612903,62.5,28.571428571428573,0.0,수원 KT
S43G01N28,2023-2024,20231105,away,24,1,25,19,44,4,51,26,26,5,0,0,15,12,9,0,77,31,19,42,24,79,92,5,0,15,2400,0,1,0,15,-11.264574345203414,29.354207436399214,28.94736842105263,93,20.4582651391162,46.15384615384615,5.2631578947368425,80.0,0.8,울산 현대모비스,17,3,24,13,37,6,52,24,23,7,1,1,26,19,4,2,76,32,17,34,18,90,102,7,0,7,2400,0,0,0,7,11.264574345203414,45.85326953748007,66.66666666666667,102,9.9601593625498,7.407407407407407,46.666666666666664,37.5,1.5,원주 DB
S43G01N29,2023-2024,20231105,away,19,0,21,14,35,1,44,18,29,11,1,1,13,9,2,3,74,30,18,36,26,80,87,6,0,8,2400,0,0,0,8,-11.281175202301128,48.842257597684515,60.526315789473685,85,4.41696113074205,44.44444444444444,31.57894736842105,100.0,9.0,대구 한국가스공사,19,5,26,8,34,6,48,30,18,6,2,2,9,9,5,6,68,38,17,35,14,91,77,5,0,12,2400,0,0,0,12,11.281175202301128,55.61440677966102,59.375,118,15.090543259557345,8.695652173913043,12.5,77.77777777777777,2.3333333333333335,안양 정관장
S43G01N30,2023-2024,20231106,home,28,7,37,12,49,7,38,24,19,10,7,5,18,13,9,4,64,39,15,30,15,101,82,4,0,14,2400,0,0,0,14,51.42182367536326,69.04761904761905,69.04761904761905,152,12.5,50.0,0.0,61.53846153846154,2.6666666666666665,수원 KT,11,4,13,9,22,0,24,8,49,12,1,1,12,11,1,0,74,21,13,28,30,65,86,12,0,6,2400,0,0,0,6,-51.42182367536326,31.746031746031747,30.555555555555557,54,12.931034482758621,5.128205128205129,27.77777777777778,75.0,1.0,고양 소노
S43G01N31,2023-2024,20231107,home,9,7,32,10,42,2,50,25,18,4,1,1,16,10,3,4,69,30,16,34,18,74,85,10,0,8,2400,0,1,0,8,8.714348184554154,36.1271676300578,50.0,91,10.660980810234541,11.11111111111111,26.666666666666668,71.42857142857143,2.5,안양 정관장,20,1,29,10,39,4,40,17,26,8,2,2,18,10,8,0,68,27,15,30,23,72,86,5,0,13,2400,0,0,0,13,-8.714348184554154,24.67105263157895,28.125,79,19.68503937007874,15.789473684210526,62.5,100.0,0.8,부산 KCC
S43G01N32,2023-2024,20231107,home,23,5,29,13,42,4,50,31,23,6,1,1,13,12,12,6,74,38,18,37,24,94,87,9,1,11,2400,0,0,0,12,48.374416619398616,60.0,60.0,128,25.0,40.0,0.0,44.44444444444444,0.8,원주 DB,16,1,20,7,27,6,44,18,15,3,2,2,18,9,3,2,61,23,16,33,24,58,79,7,2,18,2400,0,0,0,20,-48.374416619398616,28.571428571428573,28.571428571428573,48,8.695652173913043,12.121212121212121,0.0,33.333333333333336,1.0,서울 삼성
S43G01N33,2023-2024,20231109,home,22,2,32,11,43,4,45,28,21,6,1,1,21,15,9,8,67,35,16,34,16,91,88,6,1,7,2400,0,0,0,8,29.86871369652998,39.473684210526315,50.0,122,4.672897196261682,37.5,62.5,75.0,6.0,수원 KT,12,1,18,11,29,3,38,23,28,4,0,0,20,11,3,2,66,27,18,39,29,69,86,3,0,8,2400,0,0,0,8,-29.86871369652998,34.27787934186472,39.473684210526315,61,13.111888111888112,11.11111111111111,10.526315789473685,42.857142857142854,1.0,대구 한국가스공사
S43G01N34,2023-2024,20231109,home,17,4,28,8,36,5,46,24,17,5,1,1,16,12,6,0,64,30,16,33,20,77,80,6,1,14,2400,1,1,1,15,9.728413648075005,43.16298342541436,56.25,92,20.03205128205128,42.857142857142854,56.25,75.0,1.2,울산 현대모비스,20,2,25,7,32,6,38,15,23,7,3,3,17,12,2,0,64,25,18,38,29,69,81,9,1,12,2400,0,0,0,13,-9.728413648075005,47.53914988814318,50.0,81,27.42230347349177,3.4482758620689653,13.333333333333334,71.42857142857143,0.8333333333333334,서울 삼성
S43G01N35,2023-2024,20231110,home,26,3,31,9,40,1,39,18,28,16,5,5,16,10,6,5,72,39,19,40,24,104,88,5,0,4,2400,0,0,0,4,26.766725254526662,37.346221441124776,41.1764705882353,136,9.633911368015413,9.090909090909092,23.529411764705884,83.33333333333333,2.5,창원 LG,15,1,27,5,32,2,41,19,21,9,0,0,27,19,3,2,62,28,15,31,18,84,89,1,0,5,2400,0,1,0,5,-26.766725254526662,51.795580110497234,75.0,88,0.0,3.125,56.25,40.0,0.0,부산 KCC
S43G01N36,2023-2024,20231110,away,25,4,22,8,30,3,36,21,27,8,3,3,28,22,7,4,66,32,20,45,21,94,94,7,0,9,2400,1,0,0,9,-7.7038046238514255,44.880319148936174,57.5,114,0.0,22.22222222222222,35.0,50.0,0.0,원주 DB,17,1,23,17,40,3,55,25,19,8,2,2,26,21,4,0,76,35,15,35,19,99,102,5,0,8,2400,1,0,0,8,7.7038046238514255,37.41496598639456,43.333333333333336,111,9.345794392523365,8.333333333333334,66.66666666666667,33.333333333333336,1.0,안양 정관장
S43G01N37,2023-2024,20231111,away,18,2,25,13,38,3,52,23,22,7,1,1,13,11,1,2,75,31,19,42,22,80,88,7,0,8,2400,0,1,0,8,-2.0722417047178965,54.18535127055306,61.904761904761905,94,4.2087542087542085,55.55555555555556,19.047619047619047,63.63636363636363,7.0,서울 삼성,19,3,26,11,37,5,47,23,20,6,0,0,23,18,8,6,67,29,17,35,26,82,90,7,0,10,2400,0,0,0,10,2.0722417047178965,41.73989455184534,47.05882352941177,100,13.786764705882351,7.407407407407407,23.529411764705884,57.142857142857146,1.3333333333333333,서울 SK
S43G01N38,2023-2024,20231111,away,17,1,20,12,32,0,42,25,21,9,2,1,17,11,3,4,65,35,18,39,21,90,82,8,0,11,2400,1,0,0,11,-10.628065979278134,48.07692307692308,63.888888888888886,101,8.665511265164646,50.0,38.888888888888886,50.0,2.5,대구 한국가스공사,17,1,17,8,25,1,22,13,35,17,3,3,21,17,3,4,60,33,17,36,31,100,81,8,0,12,2400,0,0,0,12,10.628065979278134,42.918454935622314,56.666666666666664,109,17.421602787456447,16.666666666666668,60.0,42.857142857142854,0.75,고양 소노
S43G01N39,2023-2024,20231111,home,15,1,26,13,39,3,44,17,18,10,1,1,16,9,2,2,63,28,18,39,20,75,79,4,2,13,2400,0,0,0,15,4.9845373756781015,37.07627118644068,40.625,80,22.851919561243147,44.44444444444444,12.5,50.0,0.6,수원 KT,14,4,21,15,36,4,49,25,23,4,0,0,17,12,4,0,72,29,17,35,16,74,89,6,0,8,2400,0,0,0,8,-4.9845373756781015,53.125,53.125,82,15.789473684210526,7.142857142857143,0.0,62.5,1.6666666666666667,울산 현대모비스
S43G01N40,2023-2024,20231112,home,29,2,28,9,37,0,36,24,31,13,3,3,13,13,8,6,70,40,17,38,27,106,83,3,0,8,2400,0,0,0,8,38.26426364716899,59.80861244019139,76.66666666666667,139,9.9601593625498,28.571428571428573,46.666666666666664,100.0,4.5,원주 DB,16,1,20,16,36,3,54,21,18,6,0,0,19,16,3,2,72,27,17,34,21,76,91,4,2,9,2400,0,0,0,11,-38.26426364716899,35.08124076809454,38.23529411764706,77,12.998266897746968,15.151515151515152,41.1764705882353,50.0,1.0,서울 SK
S43G01N41,2023-2024,20231112,home,17,5,35,11,46,1,46,24,19,8,3,3,9,7,2,0,68,35,17,34,16,85,77,5,0,17,2400,0,0,0,17,16.630480159208176,47.53914988814318,50.0,107,20.120724346076457,42.857142857142854,13.333333333333334,57.142857142857146,1.0,안양 정관장,20,6,22,14,36,1,52,18,23,6,3,3,11,11,4,4,78,27,17,35,27,71,89,12,1,8,2400,0,1,0,9,-16.630480159208176,32.154340836012864,31.818181818181817,86,0.0,14.634146341463415,9.090909090909092,66.66666666666667,0.0,창원 LG
S43G01N42,2023-2024,20231112,home,21,2,25,7,32,3,29,14,42,19,1,1,7,6,2,0,72,34,17,37,19,93,79,4,0,9,2400,0,0,0,9,6.150049319236089,38.31417624521073,38.888888888888886,107,9.578544061302683,44.44444444444444,11.11111111111111,100.0,2.5,고양 소노,21,5,23,3,26,6,39,25,20,5,1,1,19,17,7,2,60,31,16,34,14,84,79,6,0,8,2400,0,0,0,8,-6.150049319236089,50.63965884861407,57.69230769230769,109,6.345177664974619,3.8461538461538463,30.76923076923077,42.857142857142854,3.0,부산 KCC
S43G01N43,2023-2024,20231113,away,13,0,26,14,40,1,48,21,26,5,0,0,4,4,4,2,74,26,17,37,23,61,78,7,1,12,2400,1,0,0,13,-21.46601590744757,38.58024691358025,38.888888888888886,61,13.992537313432836,36.36363636363637,5.555555555555555,50.0,1.0,울산 현대모비스,11,2,26,13,39,8,44,25,24,3,2,2,18,14,6,6,70,30,13,26,20,77,88,7,0,9,2400,0,1,0,9,21.46601590744757,40.95674967234601,50.0,91,4.251700680272109,18.75,42.10526315789474,22.22222222222222,2.0,수원 KT
S43G01N44,2023-2024,20231114,home,21,3,28,14,42,5,43,19,24,11,3,2,18,12,6,2,70,32,16,34,18,87,88,5,0,10,2400,0,0,0,10,3.077760966110475,39.868667917448406,41.1764705882353,109,0.0,50.0,17.647058823529413,50.0,0.0,원주 DB,18,3,22,17,39,2,48,23,30,10,0,0,14,9,3,4,78,33,19,39,22,85,92,5,0,7,2400,0,0,0,7,-3.077760966110475,54.22993492407809,55.88235294117647,95,10.288065843621398,15.151515151515152,5.882352941176471,37.5,1.5,부산 KCC
S43G01N45,2023-2024,20231114,away,12,1,27,29,56,2,54,19,22,2,3,3,20,13,1,0,79,24,20,43,25,63,99,5,0,13,2400,0,0,0,13,-19.56946295796041,25.12562814070352,28.571428571428573,64,15.45595054095827,46.666666666666664,9.523809523809524,80.0,1.0,서울 삼성,14,8,25,6,31,6,44,25,22,5,1,1,17,14,2,0,67,31,18,37,25,81,84,8,0,7,2400,0,0,0,7,19.56946295796041,33.89154704944179,36.666666666666664,102,9.9601593625498,3.5714285714285716,46.666666666666664,40.0,1.0,안양 정관장
S43G01N46,2023-2024,20231116,home,20,6,27,14,41,3,46,23,21,7,4,4,12,6,6,2,71,34,16,33,25,81,83,7,0,10,2400,0,0,0,10,17.97114722874481,47.22921914357683,50.0,105,17.772511848341228,28.571428571428573,15.384615384615385,66.66666666666667,1.3333333333333333,원주 DB,16,2,26,16,42,2,50,19,25,8,2,2,8,6,3,4,77,29,18,36,21,72,85,6,3,12,2400,0,0,0,15,-17.97114722874481,35.21126760563381,35.294117647058826,75,14.367816091954024,12.903225806451612,11.764705882352942,100.0,1.6666666666666667,울산 현대모비스
S43G01N47,2023-2024,20231116,away,15,0,24,13,37,2,36,19,27,10,0,0,15,6,0,0,63,29,19,42,30,74,78,1,0,11,2400,0,0,0,11,-0.6136567773077104,59.74264705882352,71.875,75,14.45086705202312,57.142857142857146,25.0,33.333333333333336,1.0,대구 한국가스공사,14,2,24,9,33,1,49,24,14,3,2,2,16,15,6,6,65,29,19,40,21,76,81,6,2,6,2400,0,0,0,8,0.6136567773077104,39.00709219858156,40.476190476190474,87,7.936507936507937,22.580645161290324,23.80952380952381,50.0,2.0,서울 SK
