gameKey,seasonName,date,winner,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_UF,H_TF,H_TOM,H_EJ,H_NR,H_TS%,H_eFG%,H_EFF,H_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_UF,A_TF,A_TOM,A_EJ,A_NR,A_TS%,A_eFG%,A_EFF,A_TEAM
S39G01N1,2021-2022,20211009,home,13,4,26,12,38,1,40,19,33,14,1,1,4,3,2,0,74,34,16,32,21,85,78,6,0,6,2400,0,0,11,0,12.146561222111572,53.125,53.125,100,안양 KGC,16,1,25,17,42,2,37,19,33,10,0,0,12,8,5,6,70,29,12,24,18,76,82,2,1,11,2400,0,0,8,0,-12.146561222111572,39.414414414414416,47.22222222222222,82,전주 KCC
S39G01N2,2021-2022,20211009,away,23,5,19,8,27,2,49,25,17,6,2,2,19,15,3,0,68,33,13,28,24,87,87,6,0,9,2400,0,0,4,0,-26.207559445865712,43.36349924585219,53.333333333333336,102,고양 오리온,23,1,26,15,41,3,59,34,18,8,1,1,13,11,8,2,78,43,18,38,33,105,91,6,0,7,2400,0,0,7,0,26.207559445865712,50.46583850931677,57.5,135,서울 SK
S39G01N3,2021-2022,20211009,away,18,7,23,8,31,6,46,24,21,8,1,1,14,9,2,2,68,33,19,41,26,83,82,3,1,13,2400,0,0,4,0,-18.250165236820024,52.816901408450704,61.76470588235294,94,울산 현대모비스,20,3,21,5,26,6,45,27,20,7,2,2,19,15,6,2,67,36,19,41,42,94,86,8,1,6,2400,0,0,12,0,18.250165236820024,70.58823529411765,70.58823529411765,115,대구 한국가스공사
S39G01N4,2021-2022,20211010,away,14,4,26,10,36,8,45,14,25,7,2,1,23,16,4,2,72,22,12,24,21,67,95,10,0,10,2400,0,0,6,0,-14.363709746399707,33.95061728395062,41.666666666666664,72,수원 KT,19,10,32,10,42,7,45,20,23,9,1,1,7,4,6,2,69,30,17,35,23,73,76,5,0,14,2400,0,0,11,0,14.363709746399707,45.955882352941174,53.125,100,원주 DB
S39G01N5,2021-2022,20211010,home,24,6,22,7,29,7,43,25,20,10,4,3,19,14,4,2,67,38,19,44,24,100,86,4,0,16,2400,1,0,10,0,9.431432831013367,57.80346820809248,70.0,120,서울 삼성,15,1,22,12,34,2,43,20,27,9,1,1,28,23,5,2,71,30,20,42,21,92,99,9,2,13,2400,0,0,14,0,-9.431432831013367,28.561827956989244,27.083333333333332,92,창원 LG
S39G01N6,2021-2022,20211010,away,19,3,22,11,33,2,46,24,18,6,1,1,15,10,8,2,65,31,18,36,22,78,80,5,0,12,2400,0,0,8,0,-8.872875644035517,51.75983436853002,66.66666666666667,89,전주 KCC,21,2,24,11,35,5,48,28,24,7,1,1,7,6,4,4,73,36,16,32,21,85,80,9,0,8,2400,0,0,13,0,8.872875644035517,67.20430107526882,77.77777777777777,111,고양 오리온
S39G01N7,2021-2022,20211010,home,20,1,32,11,43,5,41,21,32,12,0,0,11,10,3,4,73,33,18,39,27,88,84,4,0,15,2400,0,0,7,0,13.454716771976479,50.30181086519115,52.94117647058823,105,대구 한국가스공사,16,6,25,5,30,2,31,15,33,11,2,1,15,8,3,0,66,27,15,30,24,73,81,10,1,10,2400,0,0,6,0,-13.454716771976479,36.008230452674894,38.888888888888886,80,안양 KGC
S39G01N8,2021-2022,20211011,home,18,2,26,10,36,5,51,30,15,3,2,2,12,8,6,4,68,35,17,37,24,81,80,10,1,14,2400,0,0,14,0,16.033427848975293,44.55909943714822,52.94117647058823,100,원주 DB,19,2,23,9,32,3,41,17,20,8,1,1,13,9,4,0,62,26,14,30,31,69,75,9,2,19,2400,0,0,12,0,-16.033427848975293,54.47247706422018,56.25,73,울산 현대모비스
S39G01N9,2021-2022,20211011,home,19,3,29,14,43,5,46,22,26,8,0,0,24,19,8,4,72,30,19,38,33,87,96,8,0,12,2400,0,0,11,0,20.211453925455913,46.49499284692418,63.333333333333336,106,서울 SK,17,2,29,6,35,4,40,20,28,7,1,1,14,10,5,2,69,28,18,38,25,73,83,8,2,14,2400,0,0,11,0,-20.211453925455913,45.02572898799314,47.36842105263158,78,서울 삼성
S39G01N10,2021-2022,20211011,away,15,0,13,13,26,7,47,18,21,7,1,1,19,17,3,2,69,26,18,39,17,76,88,14,1,13,2400,0,0,6,0,-24.163549336733823,37.95546558704453,39.285714285714285,79,창원 LG,19,3,23,11,34,3,35,21,24,12,2,2,14,10,4,2,61,35,20,43,18,92,75,8,3,19,2400,0,0,12,0,24.163549336733823,56.27962085308057,64.28571428571429,107,수원 KT
S39G01N11,2021-2022,20211012,home,18,0,24,14,38,4,47,26,21,8,3,3,27,20,3,2,71,37,16,35,22,102,98,7,1,14,2700,0,0,13,0,8.100000181182736,32.608695652173914,62.5,113,고양 오리온,22,1,20,16,36,2,46,29,34,8,1,0,21,16,6,2,81,37,13,34,17,98,102,9,0,11,2700,0,0,17,0,-8.100000181182736,28.81844380403458,31.818181818181817,108,안양 KGC
S39G01N12,2021-2022,20211013,home,15,4,27,12,39,1,47,24,18,6,0,0,25,22,2,0,65,30,19,41,22,88,90,6,1,6,2400,0,0,10,0,13.030847559149436,45.761078998073216,50.0,108,서울 삼성,17,2,23,7,30,4,33,19,29,8,1,1,28,22,2,0,63,28,20,42,22,86,91,4,1,8,2400,0,0,6,0,-13.030847559149436,55.076628352490424,61.111111111111114,93,전주 KCC
S39G01N13,2021-2022,20211014,home,18,3,25,18,43,0,47,28,24,9,2,2,15,8,4,0,73,39,20,43,30,95,88,9,0,12,2400,0,0,15,0,27.08863925777699,46.445880452342486,55.26315789473684,115,수원 KT,16,2,20,9,29,4,37,22,27,7,1,1,17,11,2,0,65,30,17,34,22,78,82,6,0,13,2400,0,0,7,0,-27.08863925777699,56.00358422939068,63.888888888888886,81,대구 한국가스공사
S39G01N14,2021-2022,20211015,away,11,4,24,16,40,3,41,13,24,11,0,0,19,12,1,0,65,24,17,36,24,71,84,5,0,12,2400,0,0,8,0,6.3623710461379375,29.069767441860463,33.333333333333336,74,창원 LG,14,7,28,12,40,3,51,25,20,4,0,0,16,11,5,2,71,29,18,38,23,73,87,4,0,10,2400,0,0,6,0,-6.3623710461379375,37.31343283582089,37.5,84,원주 DB
S39G01N15,2021-2022,20211015,home,16,1,33,16,49,5,43,19,31,9,0,0,21,20,2,2,74,28,17,35,20,85,95,4,1,17,2700,0,0,2,0,3.4687241594719467,38.40782122905028,40.0,95,전주 KCC,21,6,28,8,36,2,55,31,23,4,0,0,14,8,10,8,78,35,18,40,31,82,92,12,0,8,2700,0,0,19,0,-3.4687241594719467,40.0,40.0,102,서울 SK
S39G01N16,2021-2022,20211016,away,19,4,22,6,28,3,36,20,26,9,3,3,17,13,5,2,65,32,18,38,23,86,82,9,0,19,2400,0,0,14,0,-23.428279429412783,52.55255255255255,63.888888888888886,93,안양 KGC,24,3,23,12,35,3,52,29,18,9,5,4,16,10,4,2,75,42,16,34,17,103,91,13,1,13,2400,0,0,21,0,23.428279429412783,62.72401433691756,69.44444444444444,128,울산 현대모비스
S39G01N17,2021-2022,20211016,home,20,3,31,8,39,1,41,25,20,8,1,1,16,13,5,4,62,34,14,28,23,89,78,12,0,16,2400,0,0,12,0,30.671312735341346,60.043668122270745,67.85714285714286,117,고양 오리온,16,2,19,11,30,2,42,18,27,7,2,2,9,6,1,2,71,27,18,39,21,67,80,7,1,15,2400,0,1,12,0,-30.671312735341346,44.55909943714822,52.94117647058823,61,대구 한국가스공사
