gameKey,seasonName,date,winner,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_UF,H_TF,H_EJ,H_TO,H_NR,H_TS%,H_eFG%,H_EFF,H_TOV%,H_OREB%,H_FT%,H_AST%,H_AST/TO%,H_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_UF,A_TF,A_EJ,A_TO,A_NR,A_TS%,A_eFG%,A_EFF,A_TOV%,A_OREB%,A_FT%,A_AST%,A_AST/TO%,A_TEAM
S41G01N1,2022-2023,20221015,away,14,1,27,7,34,1,42,20,24,8,1,1,16,9,2,2,67,29,18,38,20,75,83,11,2,13,2400,0,0,0,15,-16.57254079727055,44.742729306487696,46.666666666666664,76,23.946360153256702,11.11111111111111,13.333333333333334,50.0,0.6,서울 SK,24,1,32,8,40,2,41,22,24,10,0,0,20,14,6,6,65,32,17,34,19,88,85,7,0,14,2400,0,0,0,14,16.57254079727055,32.70348837209303,43.75,109,17.006802721088437,12.903225806451612,50.0,66.66666666666667,1.0,안양 KGC
S41G01N2,2022-2023,20221015,away,12,2,25,14,39,4,51,23,22,5,2,2,16,11,7,8,75,30,17,34,25,76,91,5,0,10,2400,0,0,0,10,-15.70611433009205,55.61440677966102,59.375,78,5.592841163310962,0.0,12.5,22.22222222222222,2.0,수원 KT,16,3,28,13,41,2,41,22,26,8,3,3,14,11,5,0,70,33,17,37,20,85,84,6,1,12,2400,0,0,0,13,15.70611433009205,50.355450236966824,53.57142857142857,100,34.96503496503496,10.714285714285714,14.285714285714286,83.33333333333333,0.625,울산 현대모비스
S41G01N3,2022-2023,20221015,home,15,4,26,11,37,6,42,22,32,10,0,0,19,13,4,6,74,32,17,35,23,87,93,10,0,7,2400,1,0,0,7,8.933129147524241,31.89792663476874,40.0,104,14.231499051233397,0.0,46.666666666666664,60.0,1.0,고양 캐롯,18,3,31,13,44,0,39,15,25,8,6,6,19,14,4,0,70,29,18,39,21,80,89,3,0,13,2400,0,0,0,13,-8.933129147524241,40.95163806552262,50.0,89,13.250883392226148,13.333333333333334,35.294117647058826,50.0,1.3333333333333333,원주 DB
S41G01N4,2022-2023,20221016,away,18,3,22,13,35,2,48,23,21,3,1,1,10,5,6,8,70,27,17,36,24,62,80,13,0,16,2400,0,0,0,16,-5.875476805709383,31.446540880503143,31.25,69,14.064697609001406,37.5,4.166666666666667,71.42857142857143,1.25,창원 LG,12,3,28,12,40,2,46,20,13,4,0,0,15,13,1,0,59,24,19,41,33,65,74,9,0,22,2400,0,0,0,22,5.875476805709383,33.96739130434783,41.666666666666664,72,37.37541528239203,12.0,58.333333333333336,60.0,0.3333333333333333,서울 삼성
S41G01N5,2022-2023,20221016,away,15,1,16,8,24,5,45,28,20,2,0,0,13,10,7,6,65,30,19,39,22,72,78,11,0,10,2400,0,0,0,10,-14.818092264538436,59.74264705882352,68.75,80,10.121457489878543,66.66666666666667,25.0,50.0,2.5,대구 한국가스공사,18,2,22,8,30,2,32,19,21,9,2,2,14,12,4,2,55,30,17,35,19,81,69,8,1,18,2400,0,0,0,19,14.818092264538436,76.59313725490196,95.83333333333333,95,27.292576419213972,5.882352941176471,25.0,66.66666666666667,1.2,전주 KCC
S41G01N6,2022-2023,20221016,home,23,3,36,10,46,2,28,13,36,12,2,2,10,7,5,0,66,27,17,34,16,73,76,4,2,11,2400,0,0,0,13,16.982370505958144,31.565656565656564,36.111111111111114,96,9.191176470588236,38.46153846153846,22.22222222222222,100.0,2.5,안양 KGC,13,1,27,10,37,4,38,17,31,6,2,2,13,6,1,0,71,25,13,26,20,62,84,5,2,6,2400,1,0,0,8,-16.982370505958144,21.551724137931036,25.0,61,5.208333333333334,5.2631578947368425,31.25,25.0,1.0,고양 캐롯
S41G01N7,2022-2023,20221018,home,22,5,30,7,37,2,48,26,18,10,1,1,12,3,10,2,67,37,17,35,22,87,79,8,0,8,2400,0,0,0,8,24.737745017565757,60.91101694915255,71.875,114,15.090543259557345,28.571428571428573,12.5,50.0,1.6666666666666667,창원 LG,14,4,25,10,35,2,50,20,15,5,1,1,17,13,3,4,66,26,15,30,22,70,83,5,0,11,2400,0,0,0,11,-24.737745017565757,37.828947368421055,46.875,75,8.928571428571429,9.090909090909092,62.5,14.285714285714286,0.5,전주 KCC
S41G01N8,2022-2023,20221019,home,27,3,35,8,43,1,36,22,27,11,5,4,19,13,5,2,68,37,17,34,22,98,87,6,0,13,2400,0,0,0,13,26.294898839477796,57.84708249496982,61.76470588235294,128,14.367816091954024,28.571428571428573,11.764705882352942,77.77777777777777,2.3333333333333335,대구 한국가스공사,15,0,25,4,29,3,46,26,24,5,2,1,11,9,8,4,72,32,17,37,21,78,83,8,0,10,2400,1,0,0,10,-26.294898839477796,48.33040421792618,52.94117647058823,81,5.060728744939271,2.7777777777777777,23.529411764705884,22.22222222222222,2.0,원주 DB
S41G01N9,2022-2023,20221020,home,18,1,25,11,36,4,38,20,31,14,1,1,12,9,3,2,70,35,14,29,14,93,82,5,1,10,2400,0,1,0,11,11.749750604179383,50.57803468208092,56.666666666666664,108,22.977941176470587,28.571428571428573,26.666666666666668,57.142857142857146,0.8,안양 KGC,23,0,23,16,39,0,42,20,24,10,5,4,16,6,4,6,71,34,18,37,23,84,87,6,0,12,2400,0,1,0,12,-11.749750604179383,52.96610169491526,59.375,93,19.157088122605366,3.8461538461538463,12.5,71.42857142857143,1.25,울산 현대모비스
S41G01N10,2022-2023,20221020,home,14,2,15,6,21,3,30,13,26,12,2,2,26,19,2,0,58,27,19,40,27,85,84,8,0,9,2400,0,0,0,9,0.1730437713440267,65.31531531531532,86.66666666666667,86,10.416666666666668,50.0,33.333333333333336,40.0,2.0,수원 KT,18,2,23,9,32,1,32,22,25,10,1,1,11,7,1,0,58,33,19,44,30,83,69,6,2,17,2400,0,0,0,19,-0.1730437713440267,28.645833333333336,37.5,94,26.041666666666668,11.764705882352942,41.666666666666664,50.0,0.4,서울 삼성
S41G01N11,2022-2023,20221021,home,18,2,27,8,35,1,39,22,23,8,1,1,24,19,4,0,63,31,18,38,23,89,87,10,0,13,2400,0,0,0,13,12.353705948831788,40.62038404726736,55.88235294117647,105,12.998266897746968,37.5,41.1764705882353,44.44444444444444,1.3333333333333333,고양 캐롯,19,1,24,6,30,3,35,17,25,11,1,1,21,13,5,2,61,29,20,45,24,82,82,12,0,17,2400,1,0,0,17,-12.353705948831788,69.31608133086876,100.0,90,24.224806201550386,3.5714285714285716,46.15384615384615,81.81818181818181,1.8,창원 LG
S41G01N12,2022-2023,20221022,away,20,1,15,12,27,2,43,26,20,4,3,3,25,20,7,4,66,33,18,37,25,90,91,8,1,15,2400,0,0,0,16,-22.809278350515484,34.07682775712515,40.0,94,25.65982404692082,44.44444444444444,80.0,66.66666666666667,0.5714285714285714,대구 한국가스공사,27,2,19,9,28,2,44,34,21,8,0,0,15,13,7,6,65,42,16,37,26,105,80,9,0,15,2400,0,0,0,15,22.809278350515484,59.29791271347249,86.36363636363636,133,33.206831119544596,6.25,63.63636363636363,66.66666666666667,0.8571428571428571,서울 SK
S41G01N13,2022-2023,20221022,home,18,3,32,10,42,4,50,27,20,6,0,0,10,9,5,2,70,33,20,43,30,81,80,9,2,16,2400,0,0,0,18,8.5384764489242,40.625,40.625,101,30.434782608695652,37.5,0.0,66.66666666666667,0.5714285714285714,원주 DB,12,6,19,13,32,6,37,14,25,6,5,5,25,15,2,2,67,25,14,28,21,71,92,9,1,12,2400,0,0,0,13,-8.5384764489242,27.2108843537415,33.333333333333336,71,13.392857142857144,11.11111111111111,66.66666666666667,100.0,1.3333333333333333,수원 KT
S41G01N14,2022-2023,20221022,away,17,3,18,8,26,3,37,19,22,9,2,1,18,14,1,2,61,29,20,45,25,81,79,5,0,5,2400,0,0,0,5,0.706964486154348,54.60218408736349,64.70588235294117,94,4.844961240310077,62.5,35.294117647058826,55.55555555555556,5.0,서울 삼성,14,1,23,9,32,3,35,19,23,8,0,0,23,20,2,0,58,27,18,37,19,82,81,3,0,8,2400,0,1,0,8,-0.706964486154348,44.2008486562942,63.63636363636363,93,5.787037037037036,10.0,109.0909090909091,50.0,3.0,안양 KGC
S41G01N15,2022-2023,20221022,away,21,1,20,14,34,5,41,20,26,10,1,1,20,16,3,4,68,31,18,37,22,88,88,4,0,10,2400,0,0,0,10,-3.0072933747766513,55.21201413427562,71.42857142857143,102,19.37984496124031,40.0,42.857142857142854,62.5,1.25,전주 KCC,21,1,22,18,40,3,50,25,27,11,0,0,11,6,5,4,77,36,19,42,23,89,88,7,0,8,2400,1,0,0,8,3.0072933747766513,30.991735537190085,38.23529411764706,107,13.513513513513514,16.666666666666668,29.41176470588235,100.0,1.6666666666666667,울산 현대모비스
S41G01N16,2022-2023,20221023,home,21,2,26,13,39,1,49,19,23,14,2,1,15,10,1,0,74,34,16,34,21,92,89,6,0,8,2400,0,0,0,8,14.068640365320874,62.04044117647059,75.0,108,5.330490405117271,57.142857142857146,25.0,66.66666666666667,6.0,원주 DB,15,1,28,13,41,0,55,26,11,5,1,1,23,14,6,4,67,32,18,36,26,83,90,5,1,13,2400,0,0,0,14,-14.068640365320874,46.67207792207792,62.5,87,5.091649694501018,10.344827586206897,37.5,33.333333333333336,3.0,서울 SK
S41G01N17,2022-2023,20221023,home,20,3,20,13,33,1,37,19,26,9,0,0,22,16,4,0,63,28,20,44,32,81,85,8,2,10,2400,0,0,0,12,17.820497753509855,49.81884057971015,75.0,93,11.7096018735363,20.0,58.333333333333336,50.0,2.0,서울 삼성,11,3,24,14,38,2,43,20,15,3,2,2,23,17,3,0,60,25,19,40,31,70,83,5,0,15,2400,0,0,0,15,-17.820497753509855,53.333333333333336,53.333333333333336,73,21.05263157894737,13.043478260869565,0.0,25.0,0.5,대구 한국가스공사
