시즌,경기ID,팀명,구분,선수명,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,GD,DK,TO,PF
../kbl_data/2021-2022,S39G01N2,고양 오리온,Home,미로슬라브 라둘리차,6,1,6,16.7,0,0,0.0,1,6,16.7,4,5,80.0,1,1,2,1,0,1,0,0,1,2
../kbl_data/2021-2022,S39G01N2,고양 오리온,Home,이정현,6,3,5,60.0,0,1,0.0,3,6,50.0,0,0,0.0,0,1,1,3,0,0,0,0,2,2
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,양우섭,2,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,2,2,4,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,허일영,11,3,6,50.0,1,2,50.0,4,8,50.0,2,2,100.0,2,4,6,0,0,0,0,0,1,3
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,김선형,11,3,6,50.0,1,4,25.0,4,10,40.0,2,2,100.0,1,0,1,6,1,0,0,0,0,3
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,최부경,8,4,7,57.1,0,0,0.0,4,7,57.1,0,0,0.0,2,2,4,0,1,1,0,0,1,3
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,김승원,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,리온 윌리엄스,4,2,4,50.0,0,0,0.0,2,4,50.0,0,0,0.0,3,0,3,1,1,0,0,0,0,0
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,이현석,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,최원혁,7,1,2,50.0,1,1,100.0,2,3,66.7,2,2,100.0,1,2,3,3,1,0,0,0,0,5
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,최준용,16,3,5,60.0,2,5,40.0,5,10,50.0,4,5,80.0,0,2,2,1,0,0,0,0,1,2
../kbl_data/2021-2022,S39G01N2,서울 SK,Away,안영준,18,4,9,44.4,3,4,75.0,7,13,53.8,1,2,50.0,1,3,4,5,2,0,0,0,3,2
