경기ID,쿼터,2PA_Away,2PA_Home,2PM_Away,2PM_Home,3PA_Away,3PA_Home,3PM_Away,3PM_Home,AST_Away,AST_Home,BLK_Away,BLK_Home,DK_Away,DK_Home,DREB_Away,DREB_Home,FGA_Away,FGA_Home,FGM_Away,FGM_Home,FTA_Away,FTA_Home,FTM_Away,FTM_Home,GD_Away,GD_Home,OREB_Away,OREB_Home,PF_Away,PF_Home,PTS_Away,PTS_Home,REB_Away,REB_Home,STL_Away,STL_Home,TO_Away,TO_Home,PTS_diff,2PM_diff,2PA_diff,3PM_diff,3PA_diff,FGM_diff,FGA_diff,FTM_diff,FTA_diff,OREB_diff,DREB_diff,REB_diff,AST_diff,STL_diff,BLK_diff,GD_diff,DK_diff,TO_diff,PF_diff,Home_Win
S41G01N11,4.0,36.0,40.0,18.0,23.0,25.0,23.0,11.0,8.0,19.0,18.0,1.0,2.0,1.0,1.0,24.0,27.0,61.0,63.0,29.0,31.0,21.0,24.0,13.0,19.0,0.0,3.0,6.0,8.0,25.0,20.0,82.0,89.0,30.0,35.0,12.0,10.0,17.0,13.0,7.0,5.0,4.0,-3.0,-2.0,2.0,2.0,6.0,3.0,2.0,3.0,5.0,-1.0,-2.0,1.0,3.0,0.0,-4.0,-5.0,1
S41G01N110,1.0,10.0,14.0,4.0,9.0,8.0,5.0,2.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,4.0,9.0,18.0,19.0,6.0,10.0,8.0,10.0,5.0,5.0,0.0,0.0,3.0,5.0,7.0,6.0,19.0,26.0,7.0,14.0,1.0,1.0,2.0,2.0,7.0,5.0,4.0,-1.0,-3.0,4.0,1.0,0.0,2.0,2.0,5.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
S41G01N110,2.0,17.0,28.0,8.0,14.0,15.0,9.0,7.0,3.0,11.0,8.0,1.0,1.0,0.0,0.0,11.0,12.0,32.0,37.0,15.0,17.0,13.0,10.0,10.0,5.0,0.0,0.0,4.0,8.0,10.0,11.0,47.0,42.0,15.0,20.0,5.0,2.0,4.0,6.0,-5.0,6.0,11.0,-4.0,-6.0,2.0,5.0,-5.0,-3.0,4.0,1.0,5.0,-3.0,-3.0,0.0,0.0,0.0,2.0,1.0,1
S41G01N110,3.0,24.0,42.0,11.0,20.0,27.0,11.0,8.0,3.0,12.0,9.0,2.0,1.0,0.0,1.0,20.0,22.0,51.0,53.0,19.0,23.0,15.0,17.0,12.0,9.0,1.0,0.0,7.0,11.0,16.0,16.0,58.0,58.0,27.0,33.0,7.0,4.0,7.0,9.0,0.0,9.0,18.0,-5.0,-16.0,4.0,2.0,-3.0,2.0,4.0,2.0,6.0,-3.0,-3.0,-1.0,-1.0,1.0,2.0,0.0,1
S41G01N110,4.0,33.0,51.0,17.0,26.0,35.0,17.0,9.0,5.0,15.0,16.0,2.0,2.0,0.0,2.0,23.0,31.0,68.0,68.0,26.0,31.0,16.0,23.0,12.0,12.0,1.0,0.0,8.0,14.0,21.0,19.0,73.0,79.0,31.0,45.0,9.0,5.0,9.0,11.0,6.0,9.0,18.0,-4.0,-18.0,5.0,0.0,0.0,7.0,6.0,8.0,14.0,1.0,-4.0,0.0,-1.0,2.0,2.0,-2.0,1
S41G01N111,1.0,13.0,14.0,8.0,9.0,2.0,4.0,1.0,1.0,4.0,5.0,0.0,0.0,1.0,1.0,3.0,4.0,15.0,18.0,9.0,10.0,1.0,4.0,1.0,3.0,2.0,0.0,1.0,6.0,5.0,5.0,20.0,24.0,4.0,10.0,0.0,0.0,2.0,4.0,4.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,3.0,5.0,1.0,6.0,1.0,0.0,0.0,-2.0,0.0,2.0,0.0,0
S41G01N111,2.0,24.0,23.0,14.0,14.0,3.0,9.0,2.0,1.0,11.0,8.0,2.0,2.0,1.0,1.0,8.0,9.0,27.0,32.0,16.0,15.0,12.0,12.0,8.0,8.0,2.0,1.0,2.0,8.0,11.0,10.0,42.0,39.0,10.0,17.0,5.0,4.0,8.0,9.0,-3.0,0.0,-1.0,-1.0,6.0,-1.0,5.0,0.0,0.0,6.0,1.0,7.0,-3.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,0
S41G01N111,3.0,33.0,32.0,19.0,19.0,10.0,12.0,4.0,3.0,14.0,13.0,2.0,2.0,1.0,1.0,12.0,12.0,43.0,44.0,23.0,22.0,16.0,18.0,11.0,9.0,3.0,1.0,6.0,9.0,16.0,14.0,61.0,56.0,18.0,21.0,5.0,5.0,10.0,11.0,-5.0,0.0,-1.0,-1.0,2.0,-1.0,1.0,-2.0,2.0,3.0,0.0,3.0,-1.0,0.0,0.0,-2.0,0.0,1.0,-2.0,0
S41G01N111,4.0,41.0,42.0,23.0,21.0,15.0,18.0,5.0,5.0,17.0,18.0,3.0,2.0,3.0,1.0,18.0,16.0,56.0,60.0,28.0,26.0,22.0,20.0,17.0,11.0,3.0,1.0,9.0,11.0,20.0,20.0,78.0,68.0,27.0,27.0,6.0,7.0,14.0,13.0,-10.0,-2.0,1.0,0.0,3.0,-2.0,4.0,-6.0,-2.0,2.0,-2.0,0.0,1.0,1.0,-1.0,-2.0,-2.0,-1.0,0.0,0
S41G01N112,1.0,15.0,11.0,5.0,7.0,3.0,7.0,1.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,4.0,6.0,18.0,18.0,6.0,9.0,4.0,4.0,2.0,4.0,0.0,0.0,2.0,1.0,5.0,3.0,15.0,24.0,6.0,7.0,2.0,1.0,1.0,4.0,9.0,2.0,-4.0,1.0,4.0,3.0,0.0,2.0,0.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,0.0,0.0,3.0,-2.0,1
S41G01N112,2.0,28.0,21.0,12.0,13.0,8.0,10.0,3.0,3.0,9.0,7.0,0.0,2.0,1.0,1.0,8.0,9.0,36.0,31.0,15.0,16.0,6.0,6.0,4.0,5.0,0.0,0.0,7.0,2.0,9.0,7.0,37.0,40.0,15.0,11.0,5.0,3.0,5.0,8.0,3.0,1.0,-7.0,0.0,2.0,1.0,-5.0,1.0,0.0,-5.0,1.0,-4.0,-2.0,-2.0,2.0,0.0,0.0,3.0,-2.0,1
S41G01N112,3.0,43.0,35.0,18.0,22.0,14.0,13.0,5.0,4.0,15.0,14.0,0.0,5.0,1.0,1.0,12.0,16.0,57.0,48.0,23.0,26.0,6.0,11.0,4.0,8.0,0.0,0.0,13.0,5.0,14.0,10.0,55.0,64.0,25.0,21.0,7.0,4.0,8.0,10.0,9.0,4.0,-8.0,-1.0,-1.0,3.0,-9.0,4.0,5.0,-8.0,4.0,-4.0,-1.0,-3.0,5.0,0.0,0.0,2.0,-4.0,1
S41G01N112,4.0,53.0,45.0,24.0,28.0,20.0,21.0,6.0,8.0,20.0,19.0,1.0,5.0,2.0,1.0,17.0,21.0,73.0,66.0,30.0,36.0,14.0,13.0,11.0,9.0,0.0,1.0,17.0,8.0,18.0,17.0,77.0,89.0,34.0,29.0,8.0,5.0,10.0,11.0,12.0,4.0,-8.0,2.0,1.0,6.0,-7.0,-2.0,-1.0,-9.0,4.0,-5.0,-1.0,-3.0,4.0,1.0,-1.0,1.0,-1.0,1
S41G01N113,1.0,11.0,13.0,5.0,8.0,4.0,6.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,8.0,8.0,15.0,19.0,7.0,9.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,20.0,19.0,8.0,9.0,1.0,1.0,1.0,1.0,-1.0,3.0,2.0,-1.0,2.0,2.0,4.0,-4.0,-4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0
S41G01N113,2.0,23.0,23.0,10.0,14.0,11.0,13.0,5.0,3.0,6.0,6.0,0.0,2.0,1.0,0.0,15.0,13.0,34.0,36.0,15.0,17.0,8.0,2.0,6.0,1.0,1.0,1.0,4.0,2.0,7.0,9.0,41.0,38.0,19.0,15.0,2.0,2.0,4.0,4.0,-3.0,4.0,0.0,-2.0,2.0,2.0,2.0,-5.0,-6.0,-2.0,-2.0,-4.0,0.0,0.0,2.0,0.0,-1.0,0.0,2.0,0
S41G01N113,3.0,35.0,34.0,17.0,19.0,15.0,19.0,7.0,6.0,11.0,11.0,0.0,3.0,3.0,0.0,22.0,18.0,50.0,53.0,24.0,25.0,9.0,6.0,6.0,2.0,1.0,1.0,6.0,5.0,12.0,13.0,61.0,58.0,28.0,23.0,3.0,4.0,7.0,5.0,-3.0,2.0,-1.0,-1.0,4.0,1.0,3.0,-4.0,-3.0,-1.0,-4.0,-5.0,0.0,1.0,3.0,0.0,-3.0,-2.0,1.0,0
S41G01N113,4.0,43.0,42.0,22.0,24.0,22.0,24.0,8.0,7.0,12.0,15.0,0.0,3.0,3.0,0.0,28.0,25.0,65.0,66.0,30.0,31.0,15.0,8.0,10.0,4.0,2.0,1.0,8.0,6.0,17.0,19.0,78.0,73.0,36.0,31.0,8.0,7.0,10.0,11.0,-5.0,2.0,-1.0,-1.0,2.0,1.0,1.0,-6.0,-7.0,-2.0,-3.0,-5.0,3.0,-1.0,3.0,-1.0,-3.0,1.0,2.0,0
S41G01N114,1.0,15.0,10.0,8.0,7.0,7.0,11.0,1.0,5.0,6.0,7.0,0.0,0.0,1.0,0.0,4.0,5.0,22.0,21.0,9.0,12.0,6.0,7.0,6.0,7.0,0.0,0.0,3.0,1.0,10.0,10.0,25.0,36.0,7.0,6.0,6.0,7.0,9.0,9.0,11.0,-1.0,-5.0,4.0,4.0,3.0,-1.0,1.0,1.0,-2.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1
S41G01N114,2.0,31.0,22.0,13.0,12.0,17.0,20.0,3.0,6.0,18.0,18.0,1.0,2.0,1.0,0.0,10.0,16.0,48.0,42.0,16.0,18.0,14.0,19.0,12.0,15.0,0.0,0.0,6.0,1.0,17.0,15.0,47.0,57.0,16.0,17.0,7.0,8.0,10.0,11.0,10.0,-1.0,-9.0,3.0,3.0,2.0,-6.0,3.0,5.0,-5.0,6.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,-2.0,1
S41G01N114,3.0,50.0,37.0,19.0,16.0,26.0,29.0,10.0,11.0,22.0,20.0,1.0,3.0,1.0,0.0,18.0,24.0,76.0,66.0,29.0,27.0,22.0,29.0,18.0,22.0,0.0,0.0,10.0,3.0,21.0,18.0,86.0,87.0,28.0,27.0,7.0,8.0,11.0,12.0,1.0,-3.0,-13.0,1.0,3.0,-2.0,-10.0,4.0,7.0,-7.0,6.0,-1.0,-2.0,1.0,2.0,0.0,-1.0,1.0,-3.0,1
S41G01N114,4.0,61.0,53.0,22.0,24.0,38.0,48.0,13.0,19.0,35.0,36.0,1.0,3.0,1.0,0.0,25.0,33.0,99.0,101.0,35.0,43.0,28.0,29.0,24.0,22.0,0.0,1.0,10.0,7.0,25.0,25.0,107.0,127.0,35.0,40.0,10.0,11.0,14.0,13.0,20.0,2.0,-8.0,6.0,10.0,8.0,2.0,-2.0,1.0,-3.0,8.0,5.0,1.0,1.0,2.0,1.0,-1.0,-1.0,0.0,1
S41G01N115,1.0,17.0,10.0,8.0,5.0,10.0,8.0,1.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,7.0,8.0,27.0,18.0,9.0,7.0,3.0,9.0,3.0,4.0,0.0,0.0,4.0,3.0,10.0,7.0,22.0,20.0,11.0,11.0,4.0,2.0,3.0,5.0,-2.0,-3.0,-7.0,1.0,-2.0,-2.0,-9.0,1.0,6.0,-1.0,1.0,0.0,5.0,-2.0,0.0,0.0,0.0,2.0,-3.0,0
S41G01N115,2.0,32.0,24.0,14.0,11.0,16.0,15.0,3.0,3.0,12.0,11.0,0.0,1.0,0.0,1.0,19.0,16.0,48.0,39.0,17.0,14.0,7.0,13.0,7.0,6.0,0.0,0.0,7.0,7.0,15.0,11.0,44.0,37.0,26.0,23.0,10.0,8.0,10.0,9.0,-7.0,-3.0,-8.0,0.0,-1.0,-3.0,-9.0,-1.0,6.0,0.0,-3.0,-3.0,-1.0,-2.0,1.0,0.0,1.0,-1.0,-4.0,0
S41G01N115,3.0,45.0,39.0,23.0,16.0,21.0,20.0,7.0,5.0,24.0,17.0,1.0,1.0,1.0,1.0,26.0,18.0,66.0,59.0,30.0,21.0,14.0,16.0,11.0,8.0,0.0,0.0,9.0,10.0,19.0,16.0,78.0,55.0,35.0,28.0,13.0,10.0,13.0,13.0,-23.0,-7.0,-6.0,-2.0,-1.0,-9.0,-7.0,-3.0,2.0,1.0,-8.0,-7.0,-7.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0
S41G01N115,4.0,64.0,55.0,30.0,23.0,25.0,25.0,9.0,6.0,31.0,20.0,2.0,1.0,2.0,2.0,33.0,25.0,89.0,80.0,39.0,29.0,19.0,22.0,14.0,10.0,0.0,0.0,15.0,15.0,24.0,21.0,101.0,74.0,48.0,40.0,19.0,14.0,15.0,18.0,-27.0,-7.0,-9.0,-3.0,0.0,-10.0,-9.0,-4.0,3.0,0.0,-8.0,-8.0,-11.0,-5.0,-1.0,0.0,0.0,3.0,-3.0,0
S41G01N116,1.0,13.0,13.0,7.0,7.0,6.0,7.0,2.0,1.0,4.0,6.0,0.0,1.0,0.0,0.0,10.0,7.0,19.0,20.0,9.0,8.0,5.0,2.0,4.0,1.0,0.0,0.0,2.0,3.0,3.0,5.0,24.0,18.0,12.0,10.0,2.0,1.0,2.0,3.0,-6.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-3.0,-3.0,1.0,-3.0,-2.0,2.0,-1.0,1.0,0.0,0.0,1.0,2.0,1
S41G01N116,2.0,31.0,29.0,14.0,12.0,11.0,12.0,3.0,3.0,10.0,10.0,1.0,1.0,1.0,0.0,18.0,15.0,42.0,41.0,17.0,15.0,7.0,5.0,5.0,4.0,0.0,0.0,9.0,8.0,7.0,7.0,42.0,37.0,27.0,23.0,5.0,2.0,5.0,6.0,-5.0,-2.0,-2.0,0.0,1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-3.0,-4.0,0.0,-3.0,0.0,0.0,-1.0,1.0,0.0,1
S41G01N116,3.0,43.0,41.0,18.0,21.0,16.0,17.0,4.0,4.0,12.0,17.0,1.0,2.0,1.0,0.0,21.0,22.0,59.0,58.0,22.0,25.0,13.0,9.0,10.0,7.0,0.0,0.0,12.0,12.0,10.0,12.0,58.0,61.0,33.0,34.0,5.0,5.0,8.0,10.0,3.0,3.0,-2.0,0.0,1.0,3.0,-1.0,-3.0,-4.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,-1.0,2.0,2.0,1
S41G01N116,4.0,54.0,55.0,27.0,30.0,20.0,19.0,4.0,5.0,16.0,22.0,2.0,2.0,1.0,1.0,28.0,25.0,74.0,74.0,31.0,35.0,21.0,12.0,15.0,9.0,0.0,1.0,14.0,12.0,15.0,18.0,81.0,84.0,42.0,37.0,5.0,5.0,9.0,10.0,3.0,3.0,1.0,1.0,-1.0,4.0,0.0,-6.0,-9.0,-2.0,-3.0,-5.0,6.0,0.0,0.0,1.0,0.0,1.0,3.0,1
S41G01N117,1.0,15.0,11.0,6.0,2.0,4.0,7.0,2.0,3.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,8.0,19.0,18.0,8.0,5.0,4.0,7.0,2.0,4.0,0.0,1.0,4.0,2.0,7.0,5.0,20.0,17.0,14.0,10.0,2.0,2.0,3.0,3.0,-3.0,-4.0,-4.0,1.0,3.0,-3.0,-1.0,2.0,3.0,-2.0,-2.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,1
S41G01N117,2.0,21.0,21.0,8.0,8.0,12.0,11.0,6.0,6.0,8.0,9.0,2.0,2.0,1.0,0.0,14.0,13.0,33.0,32.0,14.0,14.0,6.0,9.0,3.0,6.0,0.0,1.0,5.0,3.0,11.0,9.0,37.0,40.0,19.0,16.0,4.0,4.0,6.0,6.0,3.0,0.0,0.0,0.0,-1.0,0.0,-1.0,3.0,3.0,-2.0,-1.0,-3.0,1.0,0.0,0.0,1.0,-1.0,0.0,-2.0,1
S41G01N117,3.0,24.0,32.0,10.0,13.0,18.0,17.0,10.0,8.0,14.0,11.0,3.0,2.0,1.0,0.0,22.0,17.0,42.0,49.0,20.0,21.0,22.0,16.0,12.0,12.0,0.0,2.0,8.0,4.0,16.0,19.0,62.0,62.0,30.0,21.0,5.0,7.0,10.0,8.0,0.0,3.0,8.0,-2.0,-1.0,1.0,7.0,0.0,-6.0,-4.0,-5.0,-9.0,-3.0,2.0,-1.0,2.0,-1.0,-2.0,3.0,1
S41G01N117,4.0,34.0,39.0,15.0,17.0,27.0,24.0,11.0,11.0,16.0,14.0,3.0,3.0,2.0,0.0,30.0,24.0,61.0,63.0,26.0,28.0,29.0,23.0,16.0,17.0,1.0,2.0,15.0,4.0,23.0,25.0,79.0,84.0,45.0,28.0,5.0,9.0,14.0,9.0,5.0,2.0,5.0,0.0,-3.0,2.0,2.0,1.0,-6.0,-11.0,-6.0,-17.0,-2.0,4.0,0.0,1.0,-2.0,-5.0,2.0,1
S41G01N118,1.0,11.0,15.0,6.0,6.0,6.0,1.0,2.0,0.0,4.0,3.0,1.0,0.0,2.0,0.0,5.0,4.0,17.0,16.0,8.0,6.0,6.0,6.0,6.0,4.0,0.0,0.0,5.0,5.0,6.0,4.0,24.0,16.0,10.0,9.0,0.0,0.0,1.0,0.0,-8.0,0.0,4.0,-2.0,-5.0,-2.0,-1.0,-2.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-2.0,-1.0,-2.0,1
S41G01N118,2.0,23.0,26.0,10.0,9.0,14.0,5.0,5.0,1.0,8.0,6.0,1.0,1.0,2.0,1.0,18.0,14.0,37.0,31.0,15.0,10.0,8.0,20.0,8.0,11.0,0.0,0.0,8.0,6.0,13.0,9.0,43.0,32.0,26.0,20.0,0.0,1.0,2.0,0.0,-11.0,-1.0,3.0,-4.0,-9.0,-5.0,-6.0,3.0,12.0,-2.0,-4.0,-6.0,-2.0,1.0,0.0,0.0,-1.0,-2.0,-4.0,1
S41G01N118,3.0,37.0,38.0,18.0,15.0,17.0,10.0,6.0,4.0,16.0,15.0,1.0,1.0,3.0,1.0,25.0,21.0,54.0,48.0,24.0,19.0,13.0,28.0,11.0,17.0,1.0,0.0,10.0,8.0,19.0,15.0,65.0,59.0,35.0,29.0,1.0,4.0,5.0,2.0,-6.0,-3.0,1.0,-2.0,-7.0,-5.0,-6.0,6.0,15.0,-2.0,-4.0,-6.0,-1.0,3.0,0.0,-1.0,-2.0,-3.0,-4.0,1
S41G01N118,4.0,45.0,48.0,22.0,21.0,25.0,18.0,8.0,6.0,20.0,21.0,1.0,2.0,3.0,2.0,32.0,27.0,70.0,66.0,30.0,27.0,13.0,31.0,11.0,20.0,1.0,1.0,13.0,10.0,23.0,17.0,79.0,80.0,45.0,37.0,2.0,7.0,9.0,3.0,1.0,-1.0,3.0,-2.0,-7.0,-3.0,-4.0,9.0,18.0,-3.0,-5.0,-8.0,1.0,5.0,1.0,0.0,-1.0,-6.0,-6.0,1
S41G01N119,1.0,9.0,13.0,5.0,8.0,9.0,7.0,5.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,5.0,7.0,18.0,20.0,10.0,8.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,5.0,5.0,4.0,25.0,19.0,6.0,12.0,3.0,0.0,0.0,3.0,-6.0,3.0,4.0,-5.0,-2.0,-2.0,2.0,3.0,3.0,4.0,2.0,6.0,1.0,-3.0,-1.0,0.0,0.0,3.0,-1.0,1
S41G01N119,2.0,14.0,21.0,5.0,11.0,16.0,15.0,6.0,3.0,6.0,11.0,1.0,0.0,0.0,1.0,11.0,16.0,30.0,36.0,11.0,14.0,4.0,9.0,4.0,8.0,0.0,1.0,3.0,9.0,12.0,9.0,32.0,39.0,14.0,25.0,5.0,1.0,6.0,6.0,7.0,6.0,7.0,-3.0,-1.0,3.0,6.0,4.0,5.0,6.0,5.0,11.0,5.0,-4.0,-1.0,1.0,1.0,0.0,-3.0,1
S41G01N119,3.0,19.0,30.0,9.0,18.0,25.0,22.0,10.0,9.0,9.0,18.0,2.0,0.0,0.0,2.0,13.0,20.0,44.0,52.0,19.0,27.0,9.0,11.0,7.0,10.0,0.0,2.0,4.0,10.0,17.0,14.0,55.0,73.0,17.0,30.0,8.0,5.0,12.0,10.0,18.0,9.0,11.0,-1.0,-3.0,8.0,8.0,3.0,2.0,6.0,7.0,13.0,9.0,-3.0,-2.0,2.0,2.0,-2.0,-3.0,1
S41G01N119,4.0,25.0,41.0,13.0,23.0,40.0,29.0,16.0,10.0,13.0,21.0,3.0,1.0,0.0,2.0,20.0,29.0,65.0,70.0,29.0,33.0,11.0,16.0,9.0,14.0,0.0,2.0,6.0,13.0,23.0,16.0,83.0,90.0,26.0,42.0,11.0,5.0,13.0,13.0,7.0,10.0,16.0,-6.0,-11.0,4.0,5.0,5.0,5.0,7.0,9.0,16.0,8.0,-6.0,-2.0,2.0,2.0,0.0,-7.0,1
S41G01N12,1.0,15.0,10.0,12.0,4.0,6.0,6.0,2.0,2.0,8.0,4.0,0.0,0.0,0.0,1.0,5.0,5.0,21.0,16.0,14.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,4.0,30.0,16.0,7.0,7.0,3.0,0.0,0.0,5.0,-14.0,-8.0,-5.0,0.0,0.0,-8.0,-5.0,2.0,2.0,0.0,0.0,0.0,-4.0,-3.0,0.0,-1.0,1.0,5.0,1.0,0
S41G01N12,2.0,26.0,19.0,19.0,12.0,12.0,12.0,5.0,2.0,16.0,10.0,0.0,1.0,0.0,2.0,11.0,10.0,38.0,31.0,24.0,14.0,4.0,13.0,4.0,10.0,1.0,0.0,4.0,4.0,9.0,8.0,57.0,40.0,15.0,14.0,4.0,3.0,4.0,7.0,-17.0,-7.0,-7.0,-3.0,0.0,-10.0,-7.0,6.0,9.0,0.0,-1.0,-1.0,-6.0,-1.0,1.0,-1.0,2.0,3.0,-1.0,0
S41G01N12,3.0,36.0,34.0,26.0,23.0,18.0,17.0,7.0,4.0,21.0,16.0,0.0,1.0,0.0,3.0,14.0,13.0,54.0,51.0,33.0,27.0,8.0,13.0,7.0,10.0,1.0,1.0,8.0,8.0,12.0,13.0,80.0,68.0,22.0,21.0,6.0,4.0,8.0,9.0,-12.0,-3.0,-2.0,-3.0,-1.0,-6.0,-3.0,3.0,5.0,0.0,-1.0,-1.0,-5.0,-2.0,1.0,0.0,3.0,1.0,1.0,0
S41G01N12,4.0,44.0,46.0,34.0,29.0,21.0,20.0,8.0,4.0,27.0,20.0,2.0,1.0,0.0,3.0,19.0,15.0,65.0,66.0,42.0,33.0,15.0,25.0,13.0,20.0,1.0,1.0,9.0,12.0,21.0,19.0,105.0,90.0,28.0,27.0,9.0,8.0,15.0,14.0,-15.0,-5.0,2.0,-4.0,-1.0,-9.0,1.0,7.0,10.0,3.0,-4.0,-1.0,-7.0,-1.0,-1.0,0.0,3.0,-1.0,-2.0,0
S41G01N120,1.0,9.0,10.0,7.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,6.0,3.0,13.0,13.0,9.0,5.0,7.0,9.0,6.0,6.0,0.0,0.0,1.0,2.0,8.0,5.0,26.0,18.0,7.0,5.0,3.0,5.0,5.0,5.0,-8.0,-4.0,1.0,0.0,-1.0,-4.0,0.0,0.0,2.0,1.0,-3.0,-2.0,2.0,2.0,-2.0,0.0,0.0,0.0,-3.0,0
S41G01N120,2.0,25.0,23.0,16.0,11.0,4.0,7.0,2.0,2.0,5.0,10.0,4.0,0.0,1.0,1.0,15.0,8.0,29.0,30.0,18.0,13.0,15.0,17.0,12.0,10.0,0.0,1.0,4.0,4.0,15.0,13.0,50.0,38.0,19.0,12.0,5.0,7.0,10.0,7.0,-12.0,-5.0,-2.0,0.0,3.0,-5.0,1.0,-2.0,2.0,0.0,-7.0,-7.0,5.0,2.0,-4.0,1.0,0.0,-3.0,-2.0,0
S41G01N120,3.0,37.0,32.0,20.0,18.0,9.0,12.0,3.0,4.0,8.0,14.0,5.0,0.0,1.0,2.0,20.0,16.0,46.0,44.0,23.0,22.0,18.0,17.0,13.0,10.0,0.0,1.0,9.0,4.0,15.0,18.0,62.0,58.0,29.0,20.0,5.0,9.0,13.0,8.0,-4.0,-2.0,-5.0,1.0,3.0,-1.0,-2.0,-3.0,-1.0,-5.0,-4.0,-9.0,6.0,4.0,-5.0,1.0,1.0,-5.0,3.0,0
S41G01N120,4.0,45.0,40.0,23.0,23.0,13.0,18.0,6.0,5.0,11.0,17.0,5.0,1.0,1.0,2.0,25.0,21.0,58.0,58.0,29.0,28.0,20.0,19.0,15.0,12.0,1.0,2.0,10.0,7.0,19.0,23.0,79.0,73.0,35.0,28.0,8.0,10.0,16.0,13.0,-6.0,0.0,-5.0,-1.0,5.0,-1.0,0.0,-3.0,-1.0,-3.0,-4.0,-7.0,6.0,2.0,-4.0,1.0,1.0,-3.0,4.0,0
S41G01N121,1.0,14.0,13.0,7.0,7.0,4.0,9.0,0.0,1.0,6.0,3.0,1.0,2.0,1.0,0.0,6.0,9.0,18.0,22.0,7.0,8.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,8.0,4.0,2.0,17.0,18.0,8.0,17.0,4.0,3.0,3.0,6.0,1.0,0.0,-1.0,1.0,5.0,1.0,4.0,-2.0,-2.0,6.0,3.0,9.0,-3.0,-1.0,1.0,0.0,-1.0,3.0,-2.0,1
S41G01N121,2.0,23.0,23.0,11.0,13.0,8.0,17.0,1.0,4.0,8.0,7.0,1.0,3.0,2.0,1.0,12.0,16.0,31.0,40.0,12.0,17.0,11.0,1.0,10.0,1.0,0.0,1.0,4.0,9.0,8.0,8.0,35.0,39.0,16.0,25.0,7.0,4.0,6.0,10.0,4.0,2.0,0.0,3.0,9.0,5.0,9.0,-9.0,-10.0,5.0,4.0,9.0,-1.0,-3.0,2.0,1.0,-1.0,4.0,0.0,1
S41G01N121,3.0,33.0,38.0,16.0,19.0,13.0,21.0,1.0,5.0,11.0,12.0,3.0,4.0,2.0,1.0,17.0,25.0,46.0,59.0,17.0,24.0,15.0,5.0,12.0,4.0,0.0,1.0,5.0,14.0,12.0,12.0,47.0,57.0,22.0,39.0,8.0,4.0,7.0,11.0,10.0,3.0,5.0,4.0,8.0,7.0,13.0,-8.0,-10.0,9.0,8.0,17.0,1.0,-4.0,1.0,1.0,-1.0,4.0,0.0,1
S41G01N121,4.0,46.0,49.0,22.0,24.0,17.0,26.0,1.0,7.0,14.0,16.0,4.0,6.0,2.0,1.0,20.0,32.0,63.0,75.0,23.0,31.0,22.0,9.0,17.0,8.0,1.0,1.0,10.0,18.0,15.0,19.0,64.0,77.0,30.0,50.0,8.0,6.0,9.0,13.0,13.0,2.0,3.0,6.0,9.0,8.0,12.0,-9.0,-13.0,8.0,12.0,20.0,2.0,-2.0,2.0,0.0,-1.0,4.0,4.0,1
S41G01N122,1.0,16.0,17.0,9.0,5.0,2.0,4.0,2.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,10.0,6.0,18.0,21.0,11.0,5.0,4.0,10.0,3.0,8.0,2.0,1.0,1.0,5.0,8.0,6.0,27.0,18.0,11.0,11.0,0.0,2.0,4.0,2.0,-9.0,-4.0,1.0,-2.0,2.0,-6.0,3.0,5.0,6.0,4.0,-4.0,0.0,-2.0,2.0,0.0,-1.0,0.0,-2.0,-2.0,1
