gameKey,seasonName,date,winner,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_UF,H_TF,H_EJ,H_TO,H_NR,H_TS%,H_eFG%,H_EFF,H_TOV%,H_OREB%,H_FT%,H_AST%,H_AST/TO%,H_CR,H_LC,H_LLP,H_PACE,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_UF,A_TF,A_EJ,A_TO,A_NR,A_TS%,A_eFG%,A_EFF,A_TOV%,A_OREB%,A_FT%,A_AST%,A_AST/TO%,A_CR,A_LC,A_LLP,A_PACE
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17,0,0,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,70.58823529411765,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,70.58823529411765
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18,0,0,0,0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0,0,0,66.66666666666667,60,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,66.66666666666667
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,24,0,0,0,0,-200.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,2,1,0,100.0,60,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,24,0,0,0,0,200.0,100.0,100.0,3,0.0,0.0,0.0,0.0,0.0,2,1,2,100.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,24,0,0,0,0,-200.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,2,1,0,100.0,60,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,2,1,1,0,0,2,1,0,0,0,24,0,0,0,0,200.0,100.0,100.0,3,0.0,0.0,0.0,0.0,0.0,2,1,2,100.0
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,44,0,0,0,0,-100.0,50.0,50.0,1,0.0,0.0,0.0,0.0,0.0,2,1,0,81.81818181818181,60,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,2,1,1,0,0,2,1,0,0,0,44,0,0,0,0,100.0,100.0,100.0,3,0.0,0.0,0.0,0.0,0.0,2,1,2,81.81818181818181
S41G01N256,2022-2023,20230324,home,55,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,62,0,0,0,0,0.0,50.0,50.0,1,0.0,0.0,0.0,0.0,0.0,2,1,0,77.41935483870968,60,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,2,2,1,0,0,2,2,0,0,0,62,0,0,0,0,0.0,50.0,50.0,2,0.0,0.0,0.0,0.0,0.0,2,1,2,77.41935483870968
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,63,0,0,0,0,0.0,50.0,50.0,2,0.0,0.0,0.0,0.0,0.0,2,1,0,76.19047619047619,60,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,2,2,1,0,0,2,2,0,0,0,63,0,0,0,0,0.0,50.0,50.0,2,0.0,0.0,0.0,0.0,0.0,2,1,2,76.19047619047619
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,2,3,0,0,0,78,0,0,0,0,-33.33333333333333,33.333333333333336,33.333333333333336,1,0.0,0.0,0.0,0.0,0.0,2,1,0,76.92307692307692,60,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,2,2,1,0,0,2,2,0,0,0,78,0,0,0,0,33.33333333333333,50.0,50.0,2,0.0,0.0,0.0,0.0,0.0,2,1,2,76.92307692307692
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,2,3,0,0,0,79,0,0,0,0,-33.33333333333333,33.333333333333336,33.333333333333336,1,0.0,0.0,0.0,0.0,0.0,2,1,0,75.94936708860759,60,0,1,1,0,1,0,2,1,0,0,0,0,0,0,1,2,2,1,0,0,2,2,0,0,0,79,0,0,0,0,33.33333333333333,50.0,50.0,3,0.0,0.0,0.0,0.0,0.0,2,1,2,75.94936708860759
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,2,3,0,0,0,80,0,0,0,0,-33.33333333333333,33.333333333333336,33.333333333333336,1,0.0,0.0,0.0,0.0,0.0,2,1,0,75.0,60,0,1,2,0,2,0,2,1,0,0,0,0,0,0,1,2,2,1,0,0,2,2,0,0,0,80,0,0,0,0,33.33333333333333,50.0,50.0,4,0.0,0.0,0.0,0.0,0.0,2,1,2,75.0
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,2,3,0,0,0,100,0,0,0,0,-66.66666666666667,33.333333333333336,33.333333333333336,1,0.0,0.0,0.0,0.0,0.0,2,1,0,72.0,60,0,1,2,0,2,0,3,2,0,0,0,0,0,0,1,2,3,2,0,0,4,3,0,0,0,100,0,0,0,0,66.66666666666667,66.66666666666667,66.66666666666667,6,0.0,0.0,0.0,0.0,0.0,2,1,2,72.0
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,4,2,0,0,0,0,0,0,0,0,4,2,0,0,4,4,0,0,0,119,0,0,0,0,-33.33333333333334,50.0,50.0,3,0.0,0.0,0.0,0.0,0.0,2,1,0,70.58823529411765,60,0,1,2,0,2,0,3,2,0,0,0,0,0,0,1,2,3,2,0,0,4,3,0,0,0,119,0,0,0,0,33.33333333333334,66.66666666666667,66.66666666666667,6,0.0,0.0,0.0,0.0,0.0,2,1,2,70.58823529411765
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,4,2,0,0,0,0,0,0,0,0,4,2,0,0,4,4,0,0,0,136,0,0,0,0,0.0,50.0,50.0,3,0.0,0.0,0.0,0.0,0.0,2,1,0,70.58823529411765,60,0,1,2,0,2,0,3,2,0,0,0,0,0,0,1,2,3,2,0,0,4,3,0,0,1,136,0,0,0,1,0.0,66.66666666666667,66.66666666666667,5,25.0,0.0,0.0,0.0,0.0,2,1,2,70.58823529411765
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,4,2,0,0,0,0,0,0,0,0,4,2,0,0,4,4,0,0,0,152,0,0,0,0,0.0,50.0,50.0,3,0.0,0.0,0.0,0.0,0.0,2,1,0,63.1578947368421,60,0,1,2,0,2,0,3,2,0,0,0,0,0,0,1,2,3,2,1,1,4,3,0,0,1,152,0,0,0,1,0.0,66.66666666666667,66.66666666666667,5,25.0,0.0,0.0,0.0,0.0,2,1,2,63.1578947368421
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,4,2,0,0,0,0,0,0,0,0,4,2,0,0,4,4,0,0,0,152,0,0,0,0,0.0,50.0,50.0,3,0.0,0.0,0.0,0.0,0.0,2,1,0,63.1578947368421,60,0,1,2,0,2,0,3,2,0,0,0,0,0,0,1,2,3,2,1,1,4,3,0,0,1,152,0,0,0,1,0.0,66.66666666666667,66.66666666666667,5,25.0,0.0,0.0,0.0,0.0,2,1,2,63.1578947368421
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,5,2,0,0,0,0,0,0,0,0,5,2,0,0,4,5,0,0,0,158,0,0,0,0,-20.0,40.0,40.0,2,0.0,0.0,0.0,0.0,0.0,2,1,0,68.35443037974683,60,0,1,2,0,2,0,3,2,0,0,0,0,0,0,1,2,3,2,1,1,4,3,0,0,1,158,0,0,0,1,20.0,66.66666666666667,66.66666666666667,5,25.0,0.0,0.0,0.0,0.0,2,1,2,68.35443037974683
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,5,2,0,0,0,0,0,0,0,0,5,2,0,0,4,5,0,0,0,159,0,0,0,0,-20.0,40.0,40.0,2,0.0,0.0,0.0,0.0,0.0,2,1,0,67.9245283018868,60,0,2,2,0,2,0,3,2,0,0,0,0,0,0,1,2,3,2,1,1,4,3,0,0,1,159,0,0,0,1,20.0,66.66666666666667,66.66666666666667,6,25.0,0.0,0.0,0.0,0.0,2,1,2,67.9245283018868
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,5,2,0,0,0,0,0,0,0,0,5,2,0,0,4,5,0,0,0,159,0,0,0,0,-20.0,40.0,40.0,2,0.0,0.0,0.0,0.0,0.0,2,1,0,67.9245283018868,60,0,2,2,0,2,1,3,2,0,0,0,0,0,0,1,2,3,2,1,1,4,3,0,0,1,159,0,0,0,1,20.0,66.66666666666667,66.66666666666667,7,25.0,0.0,0.0,0.0,0.0,2,1,2,67.9245283018868
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,5,2,0,0,0,0,0,0,0,0,5,2,0,0,4,5,0,0,0,169,0,0,0,0,0.0,40.0,40.0,2,0.0,0.0,0.0,0.0,0.0,2,1,0,71.00591715976331,60,0,2,2,0,2,1,3,2,0,0,0,0,0,0,1,2,3,2,1,1,4,3,0,0,2,169,0,0,0,2,0.0,66.66666666666667,66.66666666666667,6,40.0,0.0,0.0,0.0,0.0,2,1,2,71.00591715976331
S41G01N256,2022-2023,20230324,home,55,0,0,1,0,1,0,6,2,0,0,0,0,0,0,0,0,6,2,0,0,4,6,0,0,0,190,0,0,0,0,-13.333333333333329,33.333333333333336,33.333333333333336,1,0.0,0.0,0.0,0.0,0.0,2,1,0,69.47368421052632,60,0,2,2,0,2,1,3,2,0,0,0,0,0,0,1,2,3,2,1,1,4,3,0,0,2,190,0,0,0,2,13.333333333333329,66.66666666666667,66.66666666666667,6,40.0,0.0,0.0,0.0,0.0,2,1,2,69.47368421052632
S41G01N256,2022-2023,20230324,home,55,0,0,1,1,2,0,6,2,0,0,0,0,0,0,0,0,6,2,0,0,4,6,0,0,0,191,0,0,0,0,0.0,33.333333333333336,33.333333333333336,2,0.0,33.333333333333336,0.0,0.0,0.0,2,1,0,62.82722513089006,60,0,2,2,0,2,1,3,2,0,0,0,0,0,0,1,2,3,2,1,1,4,3,0,0,2,191,0,0,0,2,0.0,66.66666666666667,66.66666666666667,6,40.0,0.0,0.0,0.0,0.0,2,1,2,62.82722513089006
S41G01N256,2022-2023,20230324,home,55,0,0,1,1,2,0,6,2,0,0,0,0,0,0,0,0,6,2,0,0,4,6,0,0,0,200,0,0,0,0,0.0,33.333333333333336,33.333333333333336,2,0.0,33.333333333333336,0.0,0.0,0.0,2,1,0,60.0,60,0,2,2,0,2,1,3,2,0,0,0,0,0,0,1,2,3,2,2,1,4,3,0,0,2,200,0,0,0,2,0.0,66.66666666666667,66.66666666666667,6,40.0,0.0,0.0,0.0,0.0,2,1,2,60.0
S41G01N256,2022-2023,20230324,home,55,0,0,1,1,2,0,6,2,0,0,0,0,0,0,0,0,6,2,0,0,4,6,0,0,0,200,0,0,0,0,0.0,33.333333333333336,33.333333333333336,2,0.0,33.333333333333336,0.0,0.0,0.0,2,1,0,60.0,60,0,2,2,0,2,1,3,2,0,0,0,0,0,0,1,2,3,2,2,1,4,3,0,0,2,200,0,0,0,2,0.0,66.66666666666667,66.66666666666667,6,40.0,0.0,0.0,0.0,0.0,2,1,2,60.0
S41G01N256,2022-2023,20230324,home,55,0,0,1,1,2,0,6,2,0,0,0,0,1,1,0,0,6,2,0,0,5,7,0,0,0,200,0,0,0,0,11.911764705882348,38.81987577639752,33.333333333333336,3,0.0,33.333333333333336,100.0,0.0,0.0,3,2,1,62.64000000000001,60,0,2,2,0,2,1,3,2,0,0,0,0,0,0,1,2,3,2,2,1,4,3,0,0,2,200,0,0,0,2,-11.911764705882348,66.66666666666667,66.66666666666667,6,40.0,0.0,0.0,0.0,0.0,3,2,2,62.64000000000001
S41G01N256,2022-2023,20230324,home,55,0,0,1,1,2,0,6,2,0,0,0,0,2,1,0,0,6,2,0,0,5,8,0,0,0,200,0,0,0,0,5.034013605442183,36.33720930232558,33.333333333333336,2,0.0,33.333333333333336,50.0,0.0,0.0,3,2,1,65.28,60,0,2,2,0,2,1,3,2,0,0,0,0,0,0,1,2,3,2,2,1,4,3,0,0,2,200,0,0,0,2,-5.034013605442183,66.66666666666667,66.66666666666667,6,40.0,0.0,0.0,0.0,0.0,3,2,2,65.28
