gameKey,seasonName,date,winner,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_UF,H_TF,H_EJ,H_TO,H_NR,H_TS%,H_eFG%,H_EFF,H_TOV%,H_OREB%,H_FT%,H_AST%,H_AST/TO%,H_CR,H_LC,H_LLP,H_PACE,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_UF,A_TF,A_EJ,A_TO,A_NR,A_TS%,A_eFG%,A_EFF,A_TOV%,A_OREB%,A_FT%,A_AST%,A_AST/TO%,A_CR,A_LC,A_LLP,A_PACE
S41G01N59,2022-2023,20221120,away,50,10,1,20,6,26,4,33,14,16,4,1,1,12,12,1,2,49,18,14,9,52,61,7,1,14,2001,0,0,0,15,-20.291205262303535,47.89977892409727,40.816326530612244,54,20.50380785002929,22.22222222222222,100.0,55.55555555555556,0.7142857142857143,2,7,5,76.6416791604198,70,16,6,21,10,31,4,42,23,21,6,3,3,8,4,7,14,63,29,17,10,68,71,9,0,9,2001,0,0,0,9,20.291205262303535,51.11244738424534,50.79365079365079,87,11.917372881355933,33.333333333333336,50.0,55.172413793103445,1.7777777777777777,2,7,19,76.6416791604198
S41G01N59,2022-2023,20221120,away,50,10,1,20,6,26,4,33,14,16,4,1,1,12,12,1,2,49,18,14,9,52,61,7,1,14,2001,0,0,0,15,-21.899777856616993,47.89977892409727,40.816326530612244,54,20.50380785002929,22.22222222222222,100.0,55.55555555555556,0.7142857142857143,2,7,5,76.04197901049476,70,16,6,21,11,32,4,42,23,21,6,3,3,8,4,7,14,63,29,17,10,68,71,9,0,9,2001,0,0,0,9,21.899777856616993,51.11244738424534,50.79365079365079,88,11.917372881355933,35.483870967741936,50.0,55.172413793103445,1.7777777777777777,2,7,19,76.04197901049476
S41G01N59,2022-2023,20221120,away,50,10,1,20,6,26,4,33,14,16,4,1,1,12,12,1,2,49,18,14,9,52,61,7,1,14,2001,0,0,0,15,-23.34370831480659,47.89977892409727,40.816326530612244,54,20.50380785002929,22.22222222222222,100.0,55.55555555555556,0.7142857142857143,4,7,5,76.6416791604198,70,16,6,21,11,32,4,43,24,21,6,3,3,8,4,7,14,64,30,17,10,70,72,9,0,9,2001,0,0,0,9,23.34370831480659,51.83649289099527,51.5625,90,11.761630946157867,35.483870967741936,50.0,53.333333333333336,1.7777777777777777,4,7,19,76.6416791604198
S41G01N59,2022-2023,20221120,away,50,10,1,20,6,26,4,33,14,16,4,1,1,12,12,1,2,49,18,15,9,52,61,7,1,14,2001,0,0,0,15,-23.34370831480659,47.89977892409727,40.816326530612244,54,20.50380785002929,22.22222222222222,100.0,55.55555555555556,0.7142857142857143,4,7,5,76.6416791604198,70,16,6,21,11,32,4,43,24,21,6,3,3,8,4,7,14,64,30,17,10,70,72,9,0,9,2001,0,0,0,9,23.34370831480659,51.83649289099527,51.5625,90,11.761630946157867,35.483870967741936,50.0,53.333333333333336,1.7777777777777777,4,7,19,76.6416791604198
S41G01N59,2022-2023,20221120,away,50,10,1,20,6,26,4,33,14,16,4,1,1,12,12,1,2,49,18,15,9,52,61,7,1,14,2001,0,0,0,15,-23.34370831480659,47.89977892409727,40.816326530612244,54,20.50380785002929,22.22222222222222,100.0,55.55555555555556,0.7142857142857143,4,7,5,76.6416791604198,70,16,6,21,11,32,4,43,24,21,6,3,3,8,4,7,14,64,30,17,10,70,72,9,0,9,2001,0,0,0,9,23.34370831480659,51.83649289099527,51.5625,90,11.761630946157867,35.483870967741936,50.0,53.333333333333336,1.7777777777777777,4,7,19,76.6416791604198
S41G01N59,2022-2023,20221120,away,50,10,1,20,6,26,4,33,14,16,4,1,1,12,12,1,2,49,18,15,9,52,61,7,1,14,2001,0,0,0,15,-23.34370831480659,47.89977892409727,40.816326530612244,54,20.50380785002929,22.22222222222222,100.0,55.55555555555556,0.7142857142857143,4,7,5,76.6416791604198,70,16,6,21,11,32,4,43,24,21,6,3,3,8,4,7,14,64,30,17,10,70,72,9,0,9,2001,0,0,0,9,23.34370831480659,51.83649289099527,51.5625,90,11.761630946157867,35.483870967741936,50.0,53.333333333333336,1.7777777777777777,4,7,19,76.6416791604198
S41G01N59,2022-2023,20221120,away,50,10,1,20,6,26,4,33,14,16,4,1,1,12,12,1,2,49,18,15,9,52,61,7,1,14,2001,0,0,0,15,-23.34370831480659,47.89977892409727,40.816326530612244,54,20.50380785002929,22.22222222222222,100.0,55.55555555555556,0.7142857142857143,4,7,5,76.6416791604198,70,16,6,21,11,32,4,43,24,21,6,3,3,8,4,7,14,64,30,17,10,70,72,9,0,9,2001,0,0,0,9,23.34370831480659,51.83649289099527,51.5625,90,11.761630946157867,35.483870967741936,50.0,53.333333333333336,1.7777777777777777,4,7,19,76.6416791604198
S41G01N59,2022-2023,20221120,away,50,10,1,20,6,26,4,33,14,16,4,1,1,12,12,1,2,49,18,15,9,52,61,7,1,14,2001,0,0,0,15,-24.14709601934652,47.89977892409727,40.816326530612244,54,20.50380785002929,22.22222222222222,100.0,55.55555555555556,0.7142857142857143,5,7,5,76.90554722638682,70,16,6,21,11,32,4,43,24,21,6,3,3,9,5,7,14,64,30,17,10,71,73,9,0,9,2001,0,0,0,9,24.14709601934652,52.236609770453214,51.5625,91,11.694386694386695,35.483870967741936,55.55555555555556,53.333333333333336,1.7777777777777777,5,7,19,76.90554722638682
S41G01N59,2022-2023,20221120,away,50,10,1,20,6,26,4,34,15,16,4,1,1,12,12,1,2,50,19,15,9,54,62,7,1,14,2018,0,0,0,15,-22.305975578809225,48.842257597684515,42.0,56,20.207852193995382,22.22222222222222,100.0,52.63157894736842,0.7142857142857143,2,7,5,76.85232903865214,70,16,6,21,11,32,4,43,24,21,6,3,3,9,5,7,14,64,30,17,10,71,73,9,0,9,2018,0,0,0,9,22.305975578809225,52.236609770453214,51.5625,91,11.694386694386695,35.483870967741936,55.55555555555556,53.333333333333336,1.7777777777777777,2,7,19,76.85232903865214
S41G01N59,2022-2023,20221120,away,50,11,1,20,6,26,4,34,15,16,4,1,1,12,12,1,2,50,19,15,9,54,62,7,1,14,2018,0,0,0,15,-22.305975578809225,48.842257597684515,42.0,57,20.207852193995382,22.22222222222222,100.0,57.89473684210526,0.7857142857142857,2,7,5,76.85232903865214,70,16,6,21,11,32,4,43,24,21,6,3,3,9,5,7,14,64,30,17,10,71,73,9,0,9,2018,0,0,0,9,22.305975578809225,52.236609770453214,51.5625,91,11.694386694386695,35.483870967741936,55.55555555555556,53.333333333333336,1.7777777777777777,2,7,19,76.85232903865214
