======================================== [2021-2022] file check ========================================
S39G01N52.json: 20211106 (울산 현대모비스 vs 전주 KCC) [Q1(148), Q2(138), Q3(141), Q4(140)] ✅
S39G01N53.json: 20211106 (고양 오리온 vs 창원 LG) [Q1(152), Q2(124), Q3(146), Q4(150)] ✅
S39G01N54.json: 20211106 (원주 DB vs 대구 한국가스공사) [Q1(162), Q2(139), Q3(178), Q4(161)] ✅
S39G01N55.json: 20211107 (수원 KT vs 전주 KCC) [Q1(142), Q2(126), Q3(139), Q4(114)] ✅
S39G01N56.json: 20211107 (서울 SK vs 안양 KGC) [Q1(146), Q2(154), Q3(148), Q4(139)] ✅
S39G01N57.json: 20211107 (고양 오리온 vs 원주 DB) [Q1(122), Q2(143), Q3(181), Q4(151)] ✅
S39G01N58.json: 20211107 (울산 현대모비스 vs 서울 삼성) [Q1(152), Q2(145), Q3(147), Q4(162)] ✅
S39G01N59.json: 20211108 (창원 LG vs 대구 한국가스공사) [Q1(152), Q2(142), Q3(154), Q4(157)] ✅
S39G01N60.json: 20211109 (울산 현대모비스 vs 안양 KGC) [Q1(143), Q2(138), Q3(158), Q4(165)] ✅
S39G01N61.json: 20211110 (원주 DB vs 수원 KT) [Q1(137), Q2(154), Q3(157), Q4(176)] ✅
S39G01N62.json: 20211111 (서울 삼성 vs 서울 SK) [Q1(152), Q2(144), Q3(162), Q4(158)] ✅
S39G01N63.json: 20211112 (창원 LG vs 울산 현대모비스) [Q1(152), Q2(153), Q3(162), Q4(175)] ✅
S39G01N64.json: 20211113 (전주 KCC vs 대구 한국가스공사) [Q1(144), Q2(127), Q3(148), Q4(134)] ✅
S39G01N65.json: 20211113 (안양 KGC vs 고양 오리온) [Q1(141), Q2(113), Q3(160), Q4(161)] ✅
S39G01N66.json: 20211113 (원주 DB vs 서울 SK) [Q1(134), Q2(149), Q3(154), Q4(165)] ✅
S39G01N67.json: 20211114 (서울 삼성 vs 전주 KCC) [Q1(151), Q2(124), Q3(153), Q4(145)] ✅
S39G01N68.json: 20211114 (수원 KT vs 창원 LG) [Q1(125), Q2(150), Q3(145), Q4(146)] ✅
S39G01N69.json: 20211114 (울산 현대모비스 vs 원주 DB) [Q1(153), Q2(141), Q3(158), Q4(147)] ✅
S39G01N70.json: 20211115 (서울 SK vs 고양 오리온) [Q1(149), Q2(131), Q3(154), Q4(153)] ✅
S39G01N71.json: 20211116 (울산 현대모비스 vs 수원 KT) [Q1(172), Q2(137), Q3(155), Q4(174)] ✅
S39G01N72.json: 20211117 (대구 한국가스공사 vs 고양 오리온) [Q1(135), Q2(133), Q3(156), Q4(143)] ✅
S39G01N73.json: 20211118 (안양 KGC vs 전주 KCC) [Q1(162), Q2(122), Q3(153), Q4(132)] ✅
S39G01N74.json: 20211120 (창원 LG vs 서울 SK) [Q1(163), Q2(149), Q3(143), Q4(154)] ✅
S39G01N75.json: 20211121 (서울 삼성 vs 수원 KT) [Q1(136), Q2(142), Q3(157), Q4(146)] ✅
S39G01N76.json: 20211121 (대구 한국가스공사 vs 안양 KGC) [Q1(156), Q2(146), Q3(137), Q4(126)] ✅
S39G01N77.json: 20211127 (원주 DB vs 서울 삼성) [Q1(166), Q2(154), Q3(138), Q4(163)] ✅
S39G01N78.json: 20211128 (서울 SK vs 전주 KCC) [Q1(147), Q2(138), Q3(154), Q4(165)] ✅
S39G01N79.json: 20211128 (수원 KT vs 안양 KGC) [Q1(130), Q2(140), Q3(155), Q4(142)] ✅
S39G01N80.json: 20211201 (원주 DB vs 창원 LG) [Q1(141), Q2(166), Q3(150), Q4(180)] ✅
S39G01N81.json: 20211202 (고양 오리온 vs 울산 현대모비스) [Q1(145), Q2(142), Q3(174), Q4(148)] ✅
S39G01N82.json: 20211203 (안양 KGC vs 창원 LG) [Q1(134), Q2(162), Q3(149), Q4(145)] ✅
S39G01N83.json: 20211204 (전주 KCC vs 원주 DB) [Q1(163), Q2(157), Q3(134), Q4(159)] ✅
S39G01N84.json: 20211204 (서울 삼성 vs 고양 오리온) [Q1(163), Q2(130), Q3(138), Q4(162)] ✅
S39G01N85.json: 20211204 (울산 현대모비스 vs 서울 SK) [Q1(146), Q2(150), Q3(146), Q4(174)] ✅
S39G01N86.json: 20211204 (대구 한국가스공사 vs 수원 KT) [Q1(163), Q2(144), Q3(150), Q4(133)] ✅
S39G01N87.json: 20211205 (서울 삼성 vs 창원 LG) [Q1(148), Q2(127), Q3(128), Q4(136)] ✅
S39G01N88.json: 20211205 (안양 KGC vs 원주 DB) [Q1(77), Q2(129), Q3(147), Q4(160), 연장(137)] ✅
S39G01N89.json: 20211205 (대구 한국가스공사 vs 서울 SK) [Q1(137), Q2(147), Q3(172), Q4(141)] ✅
S39G01N90.json: 20211205 (고양 오리온 vs 전주 KCC) [Q1(140), Q2(140), Q3(165), Q4(124)] ✅
S39G01N91.json: 20211206 (울산 현대모비스 vs 수원 KT) [Q1(161), Q2(158), Q3(140), Q4(149)] ✅
S39G01N92.json: 20211207 (서울 삼성 vs 원주 DB) [Q1(154), Q2(125), Q3(165), Q4(147)] ✅
S39G01N93.json: 20211208 (고양 오리온 vs 창원 LG) [Q1(170), Q2(119), Q3(166), Q4(154)] ✅
S39G01N94.json: 20211209 (전주 KCC vs 대구 한국가스공사) [Q1(130), Q2(137), Q3(153), Q4(155)] ✅
S39G01N95.json: 20211210 (고양 오리온 vs 서울 SK) [Q1(139), Q2(166), Q3(139), Q4(134)] ✅
S39G01N96.json: 20211211 (울산 현대모비스 vs 안양 KGC) [Q1(171), Q2(133), Q3(172), Q4(131)] ✅
S39G01N97.json: 20211211 (전주 KCC vs 서울 삼성) [Q1(156), Q2(129), Q3(174), Q4(128)] ✅
S39G01N98.json: 20211211 (창원 LG vs 대구 한국가스공사) [Q1(136), Q2(123), Q3(147), Q4(140)] ✅
S39G01N99.json: 20211211 (원주 DB vs 수원 KT) [Q1(143), Q2(147), Q3(169), Q4(168)] ✅
S39G01N100.json: 20211212 (안양 KGC vs 서울 삼성) [Q1(154), Q2(133), Q3(145), Q4(138)] ✅
S39G01N101.json: 20211212 (서울 SK vs 울산 현대모비스) [Q1(134), Q2(134), Q3(178), Q4(167)] ✅
S39G01N102.json: 20211212 (고양 오리온 vs 전주 KCC) [Q1(65), Q2(135), Q3(146), Q4(141), 연장(126)] ✅
S39G01N103.json: 20211212 (창원 LG vs 수원 KT) [Q1(130), Q2(149), Q3(136), Q4(155)] ✅
