gameKey,seasonName,date,n,winner,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_UF,H_TF,H_EJ,H_TO,H_NR,H_TS%,H_eFG%,H_EFF,H_TOV%,H_OREB%,H_FT%,H_AST%,H_AST/TO%,H_CR,H_LC,H_LLP,H_PACE,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_UF,A_TF,A_EJ,A_TO,A_NR,A_TS%,A_eFG%,A_EFF,A_TOV%,A_OREB%,A_FT%,A_AST%,A_AST/TO%,A_CR,A_LC,A_LLP,A_PACE
S43G01N178,2023-2024,20240130,1,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S43G01N178,2023-2024,20240130,2,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S43G01N178,2023-2024,20240130,3,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S43G01N178,2023-2024,20240130,4,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S43G01N178,2023-2024,20240130,5,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S43G01N178,2023-2024,20240130,6,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S43G01N178,2023-2024,20240130,7,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S43G01N178,2023-2024,20240130,8,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S43G01N178,2023-2024,20240130,9,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S43G01N178,2023-2024,20240130,10,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S43G01N178,2023-2024,20240130,11,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
S43G01N178,2023-2024,20240130,12,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,63.1578947368421,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,1,0.0,0.0,0.0,-1,100.0,0.0,0.0,0.0,0.0,0,0,0,63.1578947368421
S43G01N178,2023-2024,20240130,13,away,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,57.142857142857146,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,1,0.0,0.0,0.0,-1,100.0,0.0,0.0,0.0,0.0,0,0,0,57.142857142857146
S43G01N178,2023-2024,20240130,14,away,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,33,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,72.72727272727273,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,1,0.0,0.0,0.0,-1,100.0,0.0,0.0,0.0,0.0,0,0,0,72.72727272727273
S43G01N178,2023-2024,20240130,15,away,66,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,33,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,72.72727272727273,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,1,0.0,0.0,0.0,-1,100.0,0.0,0.0,0.0,0.0,0,0,0,72.72727272727273
S43G01N178,2023-2024,20240130,16,away,66,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,42,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,85.71428571428572,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,1,0.0,0.0,0.0,-1,100.0,0.0,0.0,0.0,0.0,0,0,0,85.71428571428572
S43G01N178,2023-2024,20240130,17,away,66,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,43,0,0,0,0,0.0,0.0,0.0,1,0.0,100.0,0.0,0.0,0.0,0,0,0,55.81395348837209,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,1,0.0,0.0,0.0,-1,100.0,0.0,0.0,0.0,0.0,0,0,0,55.81395348837209
S43G01N178,2023-2024,20240130,18,away,66,0,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,3,1,0,0,2,3,1,0,0,45,0,0,0,0,100.0,33.333333333333336,33.333333333333336,3,0.0,100.0,0.0,0.0,0.0,2,1,2,80.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,0,1,-100.0,0.0,0.0,-1,100.0,0.0,0.0,0.0,0.0,2,1,0,80.0
S43G01N178,2023-2024,20240130,19,away,66,0,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,3,1,0,0,2,3,1,0,0,63,0,0,0,0,0.0,33.333333333333336,33.333333333333336,3,0.0,100.0,0.0,0.0,0.0,2,1,2,76.19047619047619,50,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,63,0,0,0,1,0.0,100.0,100.0,1,50.0,0.0,0.0,0.0,0.0,2,1,0,76.19047619047619
S43G01N178,2023-2024,20240130,20,away,66,0,0,0,1,1,1,3,1,1,1,0,0,0,0,0,0,4,2,0,0,5,4,1,0,0,78,0,0,0,0,66.66666666666666,62.5,62.5,6,0.0,100.0,0.0,0.0,0.0,3,1,3,76.92307692307692,50,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,78,0,0,0,1,-66.66666666666666,100.0,100.0,1,50.0,0.0,0.0,0.0,0.0,3,1,0,76.92307692307692
S43G01N178,2023-2024,20240130,21,away,66,1,0,0,1,1,1,3,1,1,1,0,0,0,0,0,0,4,2,0,0,5,4,1,0,0,78,0,0,0,0,66.66666666666666,62.5,62.5,7,0.0,100.0,0.0,50.0,0.0,3,1,3,76.92307692307692,50,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,78,0,0,0,1,-66.66666666666666,100.0,100.0,1,50.0,0.0,0.0,0.0,0.0,3,1,0,76.92307692307692
S43G01N178,2023-2024,20240130,22,away,66,1,0,0,1,1,1,3,1,1,1,0,0,0,0,0,0,4,2,0,0,5,4,1,0,0,97,0,0,0,0,33.333333333333314,62.5,62.5,7,0.0,100.0,0.0,50.0,0.0,2,1,3,74.22680412371135,50,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,4,2,0,0,1,97,0,0,0,1,-33.333333333333314,100.0,100.0,3,33.333333333333336,0.0,0.0,0.0,0.0,2,1,0,74.22680412371135
