gameKey,seasonName,date,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF
S39G01N16,2021-2022,20211016,안양 KGC,19,4,22,6,28,3,36,20,26,9,3,3,17,13,5,2,65,32,18,20,23,86,82,9,0,19,40.0,40.0,2400,0,0,14,0,93,울산 현대모비스,24,3,23,12,35,3,52,29,18,9,5,4,16,10,4,2,75,42,16,18,17,103,91,13,1,12,40.0,40.0,2400,0,0,21,0,129
S39G01N17,2021-2022,20211016,고양 오리온,20,3,31,8,39,1,41,25,20,8,1,1,16,13,5,4,62,34,14,14,23,89,78,12,0,16,40.0,40.0,2400,0,0,12,0,117,대구 한국가스공사,16,2,19,11,30,2,42,18,27,7,2,2,9,6,1,2,71,27,18,20,21,67,80,7,1,14,40.0,40.0,2400,0,1,12,0,62
S39G01N18,2021-2022,20211016,서울 삼성,18,4,19,12,31,1,47,29,18,5,1,1,8,5,4,0,66,35,18,19,28,80,74,2,1,15,40.0,40.0,2400,0,0,2,0,86,수원 KT,26,2,14,15,29,7,50,28,19,7,2,1,20,16,7,2,71,36,17,18,26,95,91,10,0,7,40.0,40.0,2400,0,0,21,0,123
S39G01N19,2021-2022,20211017,원주 DB,18,5,29,13,42,3,33,18,34,9,2,1,20,16,3,2,69,28,19,22,25,81,89,5,0,13,40.0,40.0,2400,0,0,12,0,96,대구 한국가스공사,21,1,28,12,40,3,46,18,24,8,5,5,17,12,2,0,75,31,19,22,22,82,92,6,0,8,40.0,40.0,2400,0,0,13,0,96
S39G01N20,2021-2022,20211017,서울 SK,24,2,23,13,36,4,57,30,18,6,0,0,18,11,5,5,75,36,19,20,36,89,93,9,0,8,40.0,40.0,2400,0,0,19,0,110,울산 현대모비스,20,7,25,11,36,3,39,21,26,8,1,1,20,13,4,2,66,30,16,19,24,81,86,5,0,13,40.0,40.0,2400,0,0,8,0,96
S39G01N21,2021-2022,20211017,창원 LG,9,2,20,14,34,1,40,18,26,7,0,0,8,6,3,2,66,25,17,15,18,63,74,8,1,8,40.0,40.0,2400,2,0,12,0,65,전주 KCC,17,3,23,6,29,5,35,19,20,8,2,2,8,5,3,2,57,29,13,14,14,71,65,6,0,10,40.0,40.0,2400,0,0,2,0,90
S39G01N22,2021-2022,20211018,수원 KT,15,4,33,11,44,4,33,15,35,11,1,1,12,7,5,3,69,27,13,12,23,72,81,4,2,10,40.0,40.0,2400,1,0,8,0,84,고양 오리온,17,3,29,8,37,3,42,15,22,7,3,3,9,5,5,4,67,25,18,18,26,62,76,7,1,10,40.0,40.0,2400,0,0,11,0,72
S39G01N23,2021-2022,20211019,울산 현대모비스,12,4,19,7,26,4,44,19,19,9,0,0,17,11,3,4,63,28,17,20,20,76,80,3,1,9,40.0,40.0,2400,0,0,13,0,74,서울 삼성,20,2,27,15,42,3,51,26,14,2,3,3,21,17,1,0,68,31,20,21,31,81,89,5,3,7,40.0,40.0,2400,0,0,15,0,102
S39G01N24,2021-2022,20211020,대구 한국가스공사,15,1,21,12,33,3,32,17,30,8,1,1,19,13,4,5,63,26,19,23,22,73,82,3,0,14,40.0,40.0,2400,0,0,4,0,71,창원 LG,18,2,26,17,43,4,40,21,30,10,2,2,22,16,5,6,72,33,19,25,22,92,94,11,1,9,40.0,40.0,2400,0,0,17,0,115
S39G01N25,2021-2022,20211021,안양 KGC,25,2,22,9,31,4,41,28,28,10,4,3,19,12,11,8,73,41,20,25,26,104,92,9,1,13,40.0,40.0,2400,0,1,10,0,122,서울 SK,17,1,22,15,37,2,59,27,18,9,0,0,24,18,8,6,77,36,19,19,29,99,101,10,0,12,40.0,40.0,2400,0,0,8,0,107
