gameKey,seasonName,date,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_MIN_M,H_MIN_S,H_UF,H_TF,H_TOM,H_EJ,H_EFF,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_MIN_M,A_MIN_S,A_UF,A_TF,A_TOM,A_EJ,A_EFF
S43G01N1,2023-2024,20231021,안양 정관장,18,4,26,8,34,3,44,24,16,4,2,2,12,10,0,0,62,30,16,15,20,74,74,2,0,11,40.0,40.0,2400,1,0,4,0,90,서울 SK,19,0,24,13,37,4,55,29,23,8,0,0,12,7,9,6,78,37,15,15,24,89,90,9,0,3,40.0,40.0,2400,0,0,11,0,109
S43G01N2,2023-2024,20231021,창원 LG,11,1,21,17,38,4,45,19,30,7,1,1,10,5,3,0,76,27,16,16,24,66,86,8,0,11,40.0,40.0,2400,0,0,16,0,63,수원 KT,15,5,29,14,43,6,38,19,26,6,2,2,15,11,4,2,66,27,15,17,28,71,81,4,3,12,40.0,40.0,2400,0,0,7,0,86
S43G01N3,2023-2024,20231021,울산 현대모비스,21,2,29,8,37,2,40,25,22,7,2,2,16,12,3,0,64,34,18,21,19,87,80,12,0,12,40.0,40.0,2400,0,0,8,0,115,대구 한국가스공사,13,0,19,9,28,4,45,24,19,2,2,1,10,6,1,0,66,27,17,19,26,62,76,5,1,14,40.0,40.0,2400,1,0,4,0,54
S43G01N4,2023-2024,20231022,서울 SK,18,1,27,6,33,3,45,28,22,6,0,0,16,11,8,4,67,34,17,18,27,85,83,9,0,10,40.0,40.0,2400,0,0,9,0,101,수원 KT,23,2,25,9,34,2,40,23,29,10,1,1,7,2,1,2,70,34,17,18,26,80,77,8,0,14,40.0,40.0,2400,0,0,7,0,94
S43G01N5,2023-2024,20231022,고양 소노,13,1,19,10,29,3,34,18,36,13,0,0,19,14,1,0,70,31,15,16,28,89,89,4,0,6,40.0,40.0,2400,0,0,11,0,89,원주 DB,29,4,27,7,34,6,35,22,31,18,2,2,11,8,7,4,68,42,19,24,25,110,79,4,2,9,40.0,40.0,2400,0,0,4,0,147
S43G01N6,2023-2024,20231022,부산 KCC,28,1,23,8,31,2,48,28,22,10,3,3,18,14,9,4,73,41,14,14,18,106,91,9,0,5,40.0,40.0,2400,0,0,16,0,136,서울 삼성,27,5,23,8,31,3,43,23,28,16,1,1,8,4,6,4,72,40,17,19,27,100,80,2,0,12,40.0,40.0,2400,0,0,11,0,120
S43G01N7,2023-2024,20231023,울산 현대모비스,15,4,23,10,33,1,50,25,16,3,1,1,23,15,6,2,67,29,20,25,22,76,90,9,0,8,40.0,40.0,2400,0,0,8,0,84,창원 LG,8,2,30,13,43,2,46,20,15,5,0,0,27,19,1,0,61,25,18,22,18,74,88,4,0,16,40.0,40.0,2400,0,0,4,0,73
S43G01N8,2023-2024,20231024,고양 소노,15,4,21,11,32,3,32,18,37,9,1,1,17,14,1,0,70,28,18,21,29,79,87,4,0,6,40.0,40.0,2400,1,0,10,0,86,서울 SK,20,1,26,16,42,6,50,23,22,9,0,0,20,17,5,2,72,32,16,17,17,90,92,3,0,8,40.0,40.0,2400,0,0,4,0,111
S43G01N9,2023-2024,20231026,창원 LG,21,1,19,13,32,5,42,24,27,6,1,1,11,8,1,0,70,31,19,21,25,76,81,4,1,12,40.0,40.0,2400,0,0,11,0,84,원주 DB,16,3,23,7,30,4,45,23,16,8,3,3,13,9,3,4,64,34,18,19,20,85,77,6,0,11,40.0,40.0,2400,0,0,8,0,99
S43G01N10,2023-2024,20231027,울산 현대모비스,16,4,23,11,34,11,49,25,21,6,1,1,14,8,2,0,71,32,18,22,16,78,85,6,1,10,40.0,40.0,2400,0,0,10,0,93,서울 SK,15,3,23,7,30,2,38,18,20,5,0,0,24,16,2,0,58,23,17,18,18,67,82,5,3,11,40.0,40.0,2400,0,0,6,0,65
S43G01N11,2023-2024,20231027,서울 삼성,20,2,33,17,50,7,43,26,22,7,1,1,34,23,0,0,66,34,19,24,32,98,100,1,0,8,40.0,40.0,2400,1,0,2,0,127,고양 소노,14,4,16,6,22,1,30,11,37,12,1,1,20,18,2,2,68,24,20,28,40,78,88,5,0,3,40.0,40.0,2400,0,0,5,0,75
S43G01N12,2023-2024,20231028,원주 DB,21,7,24,7,31,2,41,27,27,11,2,2,12,10,3,0,70,40,17,18,23,101,82,9,0,11,40.0,40.0,2400,0,0,17,0,128,부산 KCC,22,0,23,11,34,2,50,25,23,11,0,0,13,7,6,2,73,36,15,16,20,90,86,9,1,12,40.0,40.0,2400,0,0,12,0,101
S43G01N13,2023-2024,20231028,대구 한국가스공사,14,0,18,12,30,1,30,16,31,12,3,2,16,11,1,0,64,30,18,18,21,83,80,2,1,7,40.0,40.0,2400,0,0,5,0,83,창원 LG,22,1,25,10,35,1,39,24,26,12,1,1,11,6,3,0,66,37,20,22,15,92,77,4,1,6,40.0,40.0,2400,0,0,7,0,114
S43G01N14,2023-2024,20231028,수원 KT,15,5,31,12,43,2,40,15,25,6,1,1,10,9,4,0,66,22,16,20,26,59,76,8,2,17,40.0,40.0,2400,0,0,10,0,68,안양 정관장,14,7,28,8,36,1,38,18,25,5,0,0,16,12,1,0,63,23,15,15,19,63,79,9,1,13,40.0,40.0,2400,0,0,13,0,72
S43G01N15,2023-2024,20231029,서울 삼성,10,2,21,12,33,6,43,18,21,5,3,3,19,12,2,0,67,26,17,21,37,69,86,5,0,12,40.0,40.0,2400,0,0,4,0,65,창원 LG,14,6,26,12,38,5,53,29,16,4,1,1,22,18,6,2,70,34,19,22,24,90,92,8,1,7,40.0,40.0,2400,0,1,14,0,113
