gameKey,seasonName,date,TEAM,AST,BLK,DREB,DKM,DKA,SWA,2PM,2PA,FGA,FGM,TPF,FTM,FTA,PPF,SUB,OREB,PP,PA,PRB,STL,3PM,3PA,TTO,TRB,PTO,MIN,MIN_M,MIN_S,BPF,BPS,DPS,EFF,EJ,FST,MXD,MXS,PPS,PPT,SWM,TOM,TPF_G,TPF_T,TPS
S41G01N1,2022-2023,20221015,서울 SK,14,1,27,1,1,2,20,42,67,29,18,9,16,20,20,7,75,83,34,11,8,24,2,1,11,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N1,2022-2023,20221015,안양 KGC,24,1,32,0,0,6,22,41,65,32,17,14,20,17,19,8,88,85,40,7,10,24,0,2,14,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N2,2022-2023,20221015,수원 KT,12,2,25,2,2,7,23,51,75,30,17,11,16,17,25,14,76,91,39,5,5,22,0,4,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N2,2022-2023,20221015,울산 현대모비스,16,3,28,3,3,5,22,41,70,33,17,11,14,20,20,13,85,84,41,6,8,26,1,2,11,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N3,2022-2023,20221015,고양 캐롯,15,4,26,0,0,4,22,42,74,32,17,13,19,18,23,11,87,93,37,10,10,32,0,6,7,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N3,2022-2023,20221015,원주 DB,18,3,31,6,6,4,15,39,70,29,18,14,19,21,21,13,80,89,44,3,8,25,0,0,13,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N4,2022-2023,20221016,창원 LG,18,3,22,1,1,6,23,48,70,27,17,5,10,19,24,13,62,80,35,13,3,21,0,2,16,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N4,2022-2023,20221016,서울 삼성,12,3,28,0,0,1,20,46,59,24,19,13,15,22,33,12,65,74,40,9,4,13,0,2,22,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N5,2022-2023,20221016,대구 한국가스공사,15,1,16,0,0,7,28,45,65,30,19,10,13,20,22,8,72,78,24,11,2,20,0,5,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N5,2022-2023,20221016,전주 KCC,18,2,22,2,2,4,19,32,55,30,17,12,14,18,19,8,81,69,30,8,9,21,1,2,17,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N6,2022-2023,20221016,안양 KGC,23,3,36,2,2,5,13,28,66,27,17,7,10,17,16,10,73,76,46,4,12,36,2,2,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N6,2022-2023,20221016,고양 캐롯,13,1,27,2,2,1,17,38,71,25,13,6,13,13,20,10,62,84,37,5,6,31,2,4,4,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N7,2022-2023,20221018,창원 LG,22,5,30,1,1,10,26,48,67,37,17,3,12,18,22,7,87,79,37,8,10,18,0,2,8,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N7,2022-2023,20221018,전주 KCC,14,4,25,1,1,3,20,50,66,26,15,13,17,15,22,10,70,83,35,5,5,15,0,2,11,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N8,2022-2023,20221019,대구 한국가스공사,27,3,35,4,5,5,22,36,68,37,17,13,19,17,22,8,98,87,43,6,11,27,0,1,13,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N8,2022-2023,20221019,원주 DB,15,0,25,1,2,8,26,46,72,32,17,9,11,20,21,4,78,83,29,8,5,24,0,3,10,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N9,2022-2023,20221020,안양 KGC,18,1,25,1,1,3,20,38,70,35,14,9,12,15,14,11,93,82,36,5,14,31,1,4,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N9,2022-2023,20221020,울산 현대모비스,23,0,23,4,5,4,20,42,71,34,18,6,16,19,23,16,84,87,39,6,10,24,0,0,12,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N10,2022-2023,20221020,수원 KT,14,2,15,2,2,2,13,30,58,27,19,19,26,21,27,6,85,84,21,8,12,26,0,3,9,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N10,2022-2023,20221020,서울 삼성,18,2,23,1,1,1,22,32,58,33,19,7,11,25,30,9,83,69,32,6,10,25,2,1,15,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N11,2022-2023,20221021,고양 캐롯,18,2,27,1,1,4,22,39,63,31,18,19,24,20,23,8,89,87,35,10,8,23,0,1,13,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41G01N11,2022-2023,20221021,창원 LG,19,1,24,1,1,5,17,35,61,29,20,13,21,25,24,6,82,82,30,12,11,25,0,3,17,40.0,40.0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
