시즌,경기ID,누적쿼터,팀명,구분,선수명,최종승리팀(1=홈승),PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,GD,DK,TO,PF
../kbl_data/2021-2022,S39G01N1,Q1-Q2,안양 KGC,Home,변준형,1,3,1,2,50.0,0,1,0.0,1,3,33.3,1,2,50.0,1,1,2,1,0,0,0,0,0,3
../kbl_data/2021-2022,S39G01N1,Q1-Q2,안양 KGC,Home,한승희,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2,안양 KGC,Home,양승면,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2,안양 KGC,Home,오마리 스펠맨,1,10,2,3,66.7,2,5,40.0,4,8,50.0,0,0,0.0,0,5,5,1,0,1,0,1,0,1
../kbl_data/2021-2022,S39G01N1,Q1-Q2,전주 KCC,Away,송창용,1,3,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2,전주 KCC,Away,이정현,1,3,0,1,0.0,1,3,33.3,1,4,25.0,0,0,0.0,0,0,0,3,0,0,0,0,1,2
../kbl_data/2021-2022,S39G01N1,Q1-Q2,전주 KCC,Away,정창영,1,2,1,1,100.0,0,1,0.0,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,0,1,1
../kbl_data/2021-2022,S39G01N1,Q1-Q2,전주 KCC,Away,라건아,1,12,4,6,66.7,1,2,50.0,5,8,62.5,1,2,50.0,3,4,7,1,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2,전주 KCC,Away,김지완,1,3,0,1,0.0,1,3,33.3,1,4,25.0,0,0,0.0,0,1,1,0,0,0,0,0,1,2
../kbl_data/2021-2022,S39G01N1,Q1-Q2,전주 KCC,Away,김상규,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2,전주 KCC,Away,유병훈,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
../kbl_data/2021-2022,S39G01N1,Q1-Q2,전주 KCC,Away,전준범,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
